# Matter power spectrum P(k) at redshift z=0
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042721222072e-05       4.954118620542e+01 
       2.326940071722e-05       1.072853631815e+02 
       3.615650358602e-05       1.639739849547e+02 
       4.912298588895e-05       2.202334980955e+02 
       6.220387954818e-05       2.764175096634e+02 
       7.543509384604e-05       3.327892371105e+02 
       8.885373579883e-05       3.895726067105e+02 
       1.024984446421e-04       4.469730943913e+02 
       1.164097446970e-04       5.051883928053e+02 
       1.306304209218e-04       5.644148220752e+02 
       1.452059214576e-04       6.248517524163e+02 
       1.601847914240e-04       6.867050191328e+02 
       1.756191420481e-04       7.501898187171e+02 
       1.915651588556e-04       8.155333312873e+02 
       2.080836520204e-04       8.829772313155e+02 
       2.252406509312e-04       9.527801505995e+02 
       2.431080434315e-04       1.025220146519e+03 
       2.617642578047e-04       1.100597182427e+03 
       2.812949821548e-04       1.179235613644e+03 
       3.017939110511e-04       1.261486631076e+03 
       3.233635027954e-04       1.347730591263e+03 
       3.461157220481e-04       1.438379125040e+03 
       3.701727314300e-04       1.533876861217e+03 
       3.956674818632e-04       1.634702562263e+03 
       4.227441348055e-04       1.741369383631e+03 
       4.515582306692e-04       1.854423940033e+03 
       4.822764978386e-04       1.974443733594e+03 
       5.150761782152e-04       2.102032548423e+03 
       5.501437320088e-04       2.237813236013e+03 
       5.876727821383e-04       2.382417512318e+03 
       6.278611742111e-04       2.536472373250e+03 
       6.709070693508e-04       2.700582962154e+03 
       7.170040606051e-04       2.875312075707e+03 
       7.663354115254e-04       3.061156914890e+03 
       8.190676520760e-04       3.258524208564e+03 
       8.753439156747e-04       3.467705425205e+03 
       9.352775337530e-04       3.688854165441e+03 
       9.989464852370e-04       3.921968141916e+03 
       1.066389294278e-03       4.166877916332e+03 
       1.137602861595e-03       4.423244178168e+03 
       1.212542509737e-03       4.690564257476e+03 
       1.291124255813e-03       4.968187642445e+03 
       1.373229052481e-03       5.255325297575e+03 
       1.458708517675e-03       5.551090479436e+03 
       1.547391547860e-03       5.854568857124e+03 
       1.639091192574e-03       6.164784613063e+03 
       1.733611244858e-03       6.480752935886e+03 
       1.830752139510e-03       6.801503365413e+03 
       1.930315910054e-03       7.126099039815e+03 
       2.032110103673e-03       7.453650960974e+03 
       2.135950671017e-03       7.783327441277e+03 
       2.241663927392e-03       8.114360859449e+03 
       2.349087725404e-03       8.446049455606e+03 
       2.458071993982e-03       8.777757678133e+03 
       2.568478793794e-03       9.108913932235e+03 
       2.680182022510e-03       9.439007596034e+03 
