# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384585706665e-10       5.124237727255e-15       3.962532713340e-13       0.000000000000e+00       8.403200796564e-09       4.503845762132e-10      -2.055684500960e-12 
    3       1.309102546124e-10       6.567820648305e-15       4.428835070161e-13       0.000000000000e+00       5.156065693647e-09       3.192115937696e-10      -1.559311492085e-12 
    4       1.237393719029e-10       5.690320819686e-15       4.129911373056e-13       0.000000000000e+00       3.569735747344e-09       2.415232807290e-10      -1.024067117860e-12 
    5       1.183652565760e-10       3.798668539779e-15       3.503762323462e-13       0.000000000000e+00       2.655341626628e-09       1.906185803906e-10      -5.732262712972e-13 
    6       1.146598773488e-10       2.115077646145e-15       2.803358797106e-13       0.000000000000e+00       2.068241323260e-09       1.549519777735e-10      -2.403026680045e-13 
    7       1.122776691290e-10       1.124876537733e-15       2.177188281575e-13       0.000000000000e+00       1.664263117458e-09       1.287908159475e-10      -2.702779511217e-14 
    8       1.108533870632e-10       7.080929982872e-16       1.692366031103e-13       0.000000000000e+00       1.372446809930e-09       1.089887622198e-10       8.290205647934e-14 
    9       1.101882294870e-10       5.597424237690e-16       1.364784176967e-13       0.000000000000e+00       1.153656828979e-09       9.363231098340e-11       1.150256921043e-13 
   10       1.100877789512e-10       4.739699376825e-16       1.179080659371e-13       0.000000000000e+00       9.846726730053e-10       8.144729860636e-11       9.770696309236e-14 
   11       1.103650811110e-10       3.949179611669e-16       1.104982379683e-13       0.000000000000e+00       8.426036771810e-10       7.225813431538e-11       5.736986697074e-14 
   12       1.109538248628e-10       3.389731951577e-16       1.108175806690e-13       0.000000000000e+00       7.362524794386e-10       6.404588556653e-11       1.391379760030e-14 
   13       1.118177259227e-10       3.191470014018e-16       1.157673674115e-13       0.000000000000e+00       6.489402879289e-10       5.704109999434e-11      -2.002515750683e-14 
   14       1.128890258475e-10       3.257413044305e-16       1.229746324200e-13       0.000000000000e+00       5.762936391460e-10       5.125829623207e-11      -3.857349077616e-14 
   15       1.140969117203e-10       3.440912540869e-16       1.308602813194e-13       0.000000000000e+00       5.151454933638e-10       4.635279931720e-11      -4.221667138230e-14 
   16       1.154485105498e-10       3.708862953139e-16       1.387624908906e-13       0.000000000000e+00       4.631527017013e-10       4.195598352797e-11      -3.538749455584e-14 
   17       1.169285410443e-10       4.128606575839e-16       1.466005897220e-13       0.000000000000e+00       4.185490516252e-10       3.816065577443e-11      -2.340851711672e-14 
   18       1.184929531039e-10       4.772072655739e-16       1.545302682159e-13       0.000000000000e+00       3.798378212557e-10       3.487036546553e-11      -1.166421541821e-14 
   19       1.201578828722e-10       5.646915948818e-16       1.628574585044e-13       0.000000000000e+00       3.463931919542e-10       3.200818860112e-11      -3.152626924233e-15 
   20       1.219034575635e-10       6.730837172944e-16       1.718962122011e-13       0.000000000000e+00       3.169389968388e-10       2.946081252669e-11       8.490029099295e-17 
   21       1.237223879294e-10       8.010993554837e-16       1.816278548226e-13       0.000000000000e+00       2.910112144348e-10       2.720448548909e-11      -1.424468838504e-15 
   22       1.255831525576e-10       9.473742943404e-16       1.918351387193e-13       0.000000000000e+00       2.679850171004e-10       2.520731768163e-11      -5.821145906781e-15 
   23       1.275003069043e-10       1.111767980234e-15       2.021621560269e-13       0.000000000000e+00       2.475517028278e-10       2.344203327343e-11      -1.114049049414e-14 
   24       1.294797955070e-10       1.294303340121e-15       2.121446713577e-13       0.000000000000e+00       2.292443028252e-10       2.185738431677e-11      -1.527167643362e-14 
   25       1.315132294462e-10       1.494839419318e-15       2.213905748988e-13       0.000000000000e+00       2.128141897454e-10       2.041615745273e-11      -1.738249998288e-14 
   26       1.335753325965e-10       1.713391908712e-15       2.295450735034e-13       0.000000000000e+00       1.979395590269e-10       1.907632087542e-11      -1.718681565044e-14 
   27       1.356750020100e-10       1.951712172030e-15       2.365296978988e-13       0.000000000000e+00       1.845430878716e-10       1.784338970887e-11      -1.515102477510e-14 
   28       1.378167809314e-10       2.212405463646e-15       2.423830506316e-13       0.000000000000e+00       1.724622262090e-10       1.672829949763e-11      -1.219504163241e-14 
   29       1.399912695691e-10       2.498150879307e-15       2.471865629666e-13       0.000000000000e+00       1.614033890862e-10       1.572943742289e-11      -9.383339440162e-15 
   30       1.422024204032e-10       2.810212201517e-15       2.510351901170e-13       0.000000000000e+00       1.513054586661e-10       1.483415730719e-11      -7.244149580201e-15 
   31       1.444473700763e-10       3.149332773539e-15       2.540615351405e-13       0.000000000000e+00       1.420933463188e-10       1.401506144770e-11      -6.197340360568e-15 
   32       1.467150152278e-10       3.516165805660e-15       2.563851018016e-13       0.000000000000e+00       1.336211597119e-10       1.323913462437e-11      -6.551055066753e-15 
   33       1.490122495020e-10       3.911507588274e-15       2.578959814467e-13       0.000000000000e+00       1.258426651338e-10       1.250689175680e-11      -7.868702881423e-15 
   34       1.513451748455e-10       4.336134018529e-15       2.583889385394e-13       0.000000000000e+00       1.186888998482e-10       1.182644411886e-11      -9.350946142331e-15 
   35       1.537136902691e-10       4.790775548972e-15       2.576494608766e-13       0.000000000000e+00       1.120533025371e-10       1.120235278496e-11      -1.019433338694e-14 
   36       1.561201263099e-10       5.276266409589e-15       2.555682771135e-13       0.000000000000e+00       1.059185944284e-10       1.063360674467e-11      -1.031690402597e-14 
   37       1.585620417168e-10       5.793438845676e-15       2.520643301751e-13       0.000000000000e+00       1.002655002003e-10       1.011424767185e-11      -9.878875307470e-15 
   38       1.610288620396e-10       6.343079209371e-15       2.470542151436e-13       0.000000000000e+00       9.503438985499e-11       9.633352672453e-12      -9.095616358978e-15 
   39       1.635072665836e-10       6.925926961647e-15       2.404737275757e-13       0.000000000000e+00       9.014677075857e-11       9.178501827828e-12      -8.204322863500e-15 
   40       1.660016065716e-10       7.542679622029e-15       2.323517862394e-13       0.000000000000e+00       8.558763381594e-11       8.748656774090e-12      -7.340523687141e-15 
   41       1.685190399454e-10       8.193983756970e-15       2.227614152596e-13       0.000000000000e+00       8.134495427359e-11       8.344948376182e-12      -6.626242611891e-15 
   42       1.710635409756e-10       8.880429479925e-15       2.118016494577e-13       0.000000000000e+00       7.738512235764e-11       7.967020917891e-12      -6.204922550458e-15 
   43       1.736366224602e-10       9.602582612631e-15       1.995616080694e-13       0.000000000000e+00       7.366536321963e-11       7.613505038414e-12      -6.197019413997e-15 
   44       1.762406479559e-10       1.036110090659e-14       1.859958134897e-13       0.000000000000e+00       7.017992065010e-11       7.283936743769e-12      -6.547397102093e-15 
   45       1.788759286238e-10       1.115664854256e-14       1.710124982202e-13       0.000000000000e+00       6.692521677699e-11       6.977206225226e-12      -7.132370869174e-15 
   46       1.815394290338e-10       1.198986284923e-14       1.545067761527e-13       0.000000000000e+00       6.388598622594e-11       6.690904996964e-12      -7.799536236561e-15 
   47       1.842244667391e-10       1.286135327495e-14       1.363597594709e-13       0.000000000000e+00       6.103436509528e-11       6.421227877950e-12      -8.366083094472e-15 
   48       1.869238201323e-10       1.377163226264e-14       1.164617892760e-13       0.000000000000e+00       5.833846239702e-11       6.164085454157e-12      -8.668410414180e-15 
   49       1.896407889578e-10       1.472088723198e-14       9.479193156921e-14       0.000000000000e+00       5.579305725211e-11       5.919040994894e-12      -8.731442383880e-15 
   50       1.923807354573e-10       1.570914255508e-14       7.135937295138e-14       0.000000000000e+00       5.339598961537e-11       5.686314898851e-12      -8.644143856273e-15 
   51       1.951478248829e-10       1.673631764980e-14       4.618160205568e-14       0.000000000000e+00       5.113901659928e-11       5.465635740247e-12      -8.513295400415e-15 
   52       1.979448989639e-10       1.780222247708e-14       1.928475674141e-14       0.000000000000e+00       4.900738524821e-11       5.256204009907e-12      -8.464424781792e-15 
   53       2.007736846575e-10       1.890667039809e-14      -9.309248417305e-15       0.000000000000e+00       4.698446063839e-11       5.057028157073e-12      -8.609348667655e-15 
   54       2.036357746891e-10       2.004986118014e-14      -3.962602490739e-14       0.000000000000e+00       4.506799076546e-11       4.868117625338e-12      -8.936854850878e-15 
   55       2.065316786209e-10       2.123208863061e-14      -7.170593739107e-14       0.000000000000e+00       4.325727946316e-11       4.689533403265e-12      -9.395533177501e-15 
   56       2.094603996924e-10       2.245363226671e-14      -1.055920610914e-13       0.000000000000e+00       4.154828675105e-11       4.521022392497e-12      -9.924246827514e-15 
   57       2.124193223447e-10       2.371475773362e-14      -1.413303888838e-13       0.000000000000e+00       3.993341357213e-11       4.361996758933e-12      -1.045166380437e-14 
   58       2.154040997449e-10       2.501571722266e-14      -1.789700383873e-13       0.000000000000e+00       3.840128653040e-11       4.211513283902e-12      -1.089578842449e-14 
   59       2.184103805435e-10       2.635662001066e-14      -2.185492700838e-13       0.000000000000e+00       3.693988572452e-11       4.068523308741e-12      -1.118374877039e-14 
   60       2.214397128726e-10       2.773700802060e-14      -2.600492796365e-13       0.000000000000e+00       3.554726537554e-11       3.932737247442e-12      -1.131758921355e-14 
   61       2.244948150836e-10       2.915618225734e-14      -3.034300217056e-13       0.000000000000e+00       3.422294682705e-11       3.803924702522e-12      -1.132295600215e-14 
   62       2.275778079618e-10       3.061332011669e-14      -3.486431871154e-13       0.000000000000e+00       3.296469449637e-11       3.681650282131e-12      -1.123039838341e-14 
   63       2.306901645974e-10       3.210747140085e-14      -3.956319289632e-13       0.000000000000e+00       3.176841393747e-11       3.565262123890e-12      -1.107558673587e-14 
   64       2.338326602569e-10       3.363755433395e-14      -4.443305887291e-13       0.000000000000e+00       3.062804990385e-11       3.453880418716e-12      -1.089953070177e-14 
   65       2.370057003344e-10       3.520249054264e-14      -4.946793956969e-13       0.000000000000e+00       2.953725525522e-11       3.346633604659e-12      -1.073960938899e-14 
   66       2.402104975300e-10       3.680165217396e-14      -5.466727987398e-13       0.000000000000e+00       2.849503745181e-11       3.243450865650e-12      -1.059996406768e-14 
   67       2.434480551043e-10       3.843450262638e-14      -6.003209110093e-13       0.000000000000e+00       2.750112920122e-11       3.144417451476e-12      -1.047520656386e-14 
   68       2.467187719825e-10       4.010046584465e-14      -6.556355820597e-13       0.000000000000e+00       2.655427170994e-11       3.049537354287e-12      -1.035901575639e-14 
   69       2.500224032011e-10       4.179892622237e-14      -7.126305427909e-13       0.000000000000e+00       2.565216228026e-11       2.958728760261e-12      -1.024409870418e-14 
   70       2.533580203547e-10       4.352922850463e-14      -7.713215503918e-13       0.000000000000e+00       2.479140190733e-11       2.871819501264e-12      -1.012215177358e-14 
   71       2.567239720429e-10       4.529067769063e-14      -8.317265332834e-13       0.000000000000e+00       2.396744287610e-11       2.788542506521e-12      -9.983821765594e-15 
   72       2.601186422336e-10       4.708248826985e-14      -8.938557603749e-13       0.000000000000e+00       2.317575736818e-11       2.708612030487e-12      -9.821350292447e-15 
   73       2.635429817731e-10       4.890362086611e-14      -9.576798421263e-13       0.000000000000e+00       2.241571942394e-11       2.631979383423e-12      -9.637180930026e-15 
   74       2.669983935828e-10       5.075291391535e-14      -1.023155820629e-12       0.000000000000e+00       2.168737689170e-11       2.558618297284e-12      -9.436941651041e-15 
   75       2.704859568247e-10       5.262913032099e-14      -1.090236519665e-12       0.000000000000e+00       2.099027233181e-11       2.488445840737e-12      -9.226929970860e-15 
   76       2.740064055657e-10       5.453095619978e-14      -1.158870461890e-12       0.000000000000e+00       2.032341849057e-11       2.421319715026e-12      -9.014135336205e-15 
   77       2.775601074413e-10       5.645699962765e-14      -1.229001786030e-12       0.000000000000e+00       1.968527377416e-11       2.357035549849e-12      -8.806261513855e-15 
   78       2.811470423203e-10       5.840578938556e-14      -1.300570164059e-12       0.000000000000e+00       1.907371772258e-11       2.295324199221e-12      -8.611748979343e-15 
   79       2.847667809682e-10       6.037577370535e-14      -1.373510718394e-12       0.000000000000e+00       1.848602648352e-11       2.235849037350e-12      -8.439797305653e-15 
   80       2.884188252802e-10       6.236537575927e-14      -1.447760056330e-12       0.000000000000e+00       1.791954861456e-11       2.178289571703e-12      -8.298218137715e-15 
   81       2.921037439636e-10       6.437317398573e-14      -1.523275762419e-12       0.000000000000e+00       1.737392160741e-11       2.122614953914e-12      -8.186515455620e-15 
   82       2.958221960587e-10       6.639775093712e-14      -1.600020155932e-12       0.000000000000e+00       1.684919732805e-11       2.068853254388e-12      -8.101638832534e-15 
   83       2.995745724745e-10       6.843763911750e-14      -1.677954504276e-12       0.000000000000e+00       1.634516449949e-11       2.017008275371e-12      -8.040028601273e-15 
   84       3.033609813480e-10       7.049132077923e-14      -1.757039053464e-12       0.000000000000e+00       1.586133714470e-11       1.967058445294e-12      -7.997598068666e-15 
   85       3.071812334043e-10       7.255722771960e-14      -1.837233058586e-12       0.000000000000e+00       1.539694302958e-11       1.918955713103e-12      -7.969715729916e-15 
   86       3.110348273162e-10       7.463374107753e-14      -1.918494814278e-12       0.000000000000e+00       1.495091210589e-11       1.872624442602e-12      -7.951187482966e-15 
   87       3.149209350641e-10       7.671919113024e-14      -2.000781685195e-12       0.000000000000e+00       1.452186495428e-11       1.827960306784e-12      -7.936238842854e-15 
   88       3.188383872958e-10       7.881185708985e-14      -2.084050136478e-12       0.000000000000e+00       1.410810122719e-11       1.784829182172e-12      -7.918497156080e-15 
   89       3.227860657828e-10       8.090998810625e-14      -2.168254193885e-12       0.000000000000e+00       1.370800413009e-11       1.743100213124e-12      -7.892308694419e-15 
   90       3.267641832540e-10       8.301187049450e-14      -2.253340480929e-12       0.000000000000e+00       1.332135177257e-11       1.702753358992e-12      -7.856965485959e-15 
   91       3.307731782874e-10       8.511577072762e-14      -2.339252455744e-12       0.000000000000e+00       1.294819118978e-11       1.663786759016e-12      -7.813111852377e-15 
   92       3.348133176630e-10       8.721991528202e-14      -2.425931918972e-12       0.000000000000e+00       1.258843536658e-11       1.626183478731e-12      -7.761470736714e-15 
   93       3.388846878223e-10       8.932249075184e-14      -2.513319020706e-12       0.000000000000e+00       1.224185791333e-11       1.589910916217e-12      -7.702845915931e-15 
   94       3.429871863264e-10       9.142164396327e-14      -2.601352267434e-12       0.000000000000e+00       1.190808774161e-11       1.554920208345e-12      -7.638124213465e-15 
   95       3.471205133147e-10       9.351548208899e-14      -2.689968528983e-12       0.000000000000e+00       1.158660373998e-11       1.521145637020e-12      -7.568277711788e-15 
   96       3.512841629635e-10       9.560207276244e-14      -2.779103045467e-12       0.000000000000e+00       1.127672944973e-11       1.488504035432e-12      -7.494365964955e-15 
   97       3.554774149450e-10       9.767944419223e-14      -2.868689434228e-12       0.000000000000e+00       1.097762774061e-11       1.456894194301e-12      -7.417538211170e-15 
   98       3.596993258852e-10       9.974558527646e-14      -2.958659696780e-12       0.000000000000e+00       1.068829548656e-11       1.426196268124e-12      -7.339035585334e-15 
   99       3.639489674826e-10       1.017984911189e-13      -3.048945307805e-12       0.000000000000e+00       1.040779318941e-11       1.396299706584e-12      -7.259983510267e-15 
  100       3.682261978088e-10       1.038363066862e-13      -3.139480643114e-12       0.000000000000e+00       1.013598246959e-11       1.367192846430e-12      -7.180730534731e-15 
  101       3.725309838965e-10       1.058572038057e-13      -3.230200052386e-12       0.000000000000e+00       9.872883629707e-12       1.338884965536e-12      -7.101419522109e-15 
  102       3.768631593456e-10       1.078593382350e-13      -3.321036840243e-12       0.000000000000e+00       9.618447580689e-12       1.311378644987e-12      -7.022188790547e-15 
  103       3.812224187710e-10       1.098408503268e-13      -3.411923286308e-12       0.000000000000e+00       9.372553365366e-12       1.284669521082e-12      -6.943171782218e-15 
  104       3.856083122515e-10       1.117998656934e-13      -3.502790665269e-12       0.000000000000e+00       9.135005682090e-12       1.258746037341e-12      -6.864496732591e-15 
  105       3.900202397778e-10       1.137344958717e-13      -3.593569266938e-12       0.000000000000e+00       8.905532408318e-12       1.233589196515e-12      -6.786286339697e-15 
  106       3.944574457016e-10       1.156428389876e-13      -3.684188416309e-12       0.000000000000e+00       8.683782124224e-12       1.209172312585e-12      -6.708657433396e-15 
  107       3.989190131833e-10       1.175229804207e-13      -3.774576493620e-12       0.000000000000e+00       8.469321636286e-12       1.185460762776e-12      -6.631720644644e-15 
  108       4.034038586409e-10       1.193729934691e-13      -3.864660954414e-12       0.000000000000e+00       8.261633500894e-12       1.162411739557e-12      -6.555580074762e-15 
  109       4.079107261984e-10       1.211909400140e-13      -3.954368349596e-12       0.000000000000e+00       8.060113547940e-12       1.139974002649e-12      -6.480332964698e-15 
  110       4.124384034299e-10       1.229749179940e-13      -4.043625088022e-12       0.000000000000e+00       7.864206900341e-12       1.118100488081e-12      -6.406070131050e-15 
  111       4.169864118857e-10       1.247232093074e-13      -4.132359792120e-12       0.000000000000e+00       7.673841130234e-12       1.096788501450e-12      -6.332878047106e-15 
  112       4.215543949602e-10       1.264341521702e-13      -4.220501282679e-12       0.000000000000e+00       7.489044160855e-12       1.076044228354e-12      -6.260836410428e-15 
  113       4.261419011581e-10       1.281060971102e-13      -4.307977890322e-12       0.000000000000e+00       7.309809623518e-12       1.055870216918e-12      -6.190017080406e-15 
  114       4.307483807173e-10       1.297374080918e-13      -4.394717482857e-12       0.000000000000e+00       7.136095742348e-12       1.036265256160e-12      -6.120483755063e-15 
  115       4.353731822325e-10       1.313264636410e-13      -4.480647492642e-12       0.000000000000e+00       6.967824219026e-12       1.017224254356e-12      -6.052291647858e-15 
  116       4.400155492786e-10       1.328716579698e-13      -4.565694943937e-12       0.000000000000e+00       6.804879117519e-12       9.987381174046e-13      -5.985487164486e-15 
  117       4.446746170337e-10       1.343714021009e-13      -4.649786480266e-12       0.000000000000e+00       6.647105748827e-12       9.807936271957e-13      -5.920107579683e-15 
  118       4.493494089027e-10       1.358241249927e-13      -4.732848391772e-12       0.000000000000e+00       6.494309555711e-12       9.633733199719e-13      -5.856180714027e-15 
  119       4.540388331407e-10       1.372282746637e-13      -4.814806642576e-12       0.000000000000e+00       6.346254997438e-12       9.464553646953e-13      -5.793724610741e-15 
  120       4.587416794760e-10       1.385823193177e-13      -4.895586898135e-12       0.000000000000e+00       6.202664434516e-12       9.300134414133e-13      -5.732747212498e-15 
  121       4.634566157337e-10       1.398847484679e-13      -4.975114552599e-12       0.000000000000e+00       6.063217013433e-12       9.140166196230e-13      -5.673246038219e-15 
  122       4.681821844590e-10       1.411340740622e-13      -5.053314756167e-12       0.000000000000e+00       5.927547551392e-12       8.984292366373e-13      -5.615207859879e-15 
  123       4.729169725245e-10       1.423288780981e-13      -5.130113236251e-12       0.000000000000e+00       5.795325237217e-12       8.832185416376e-13      -5.558598531828e-15 
  124       4.776601492078e-10       1.434679592675e-13      -5.205438809499e-12       0.000000000000e+00       5.666502347171e-12       8.683788812755e-13      -5.503331844173e-15 
  125       4.824109838537e-10       1.445502053569e-13      -5.279221211256e-12       0.000000000000e+00       5.541092133326e-12       8.539100762663e-13      -5.449296465462e-15 
  126       4.871686764317e-10       1.455745497409e-13      -5.351390360870e-12       0.000000000000e+00       5.419091084367e-12       8.398098446530e-13      -5.396365073116e-15 
  127       4.919323555204e-10       1.465399728728e-13      -5.421876395295e-12       0.000000000000e+00       5.300478438304e-12       8.260737412708e-13      -5.344393952753e-15 
  128       4.967010762918e-10       1.474455037752e-13      -5.490609702692e-12       0.000000000000e+00       5.185215695193e-12       8.126950972114e-13      -5.293222597516e-15 
  129       5.014738184959e-10       1.482902215301e-13      -5.557520956035e-12       0.000000000000e+00       5.073246129851e-12       7.996649592873e-13      -5.242673307396e-15 
  130       5.062494844446e-10       1.490732567698e-13      -5.622541146713e-12       0.000000000000e+00       4.964494304575e-12       7.869720294962e-13      -5.192550788555e-15 
  131       5.110268969966e-10       1.497937931672e-13      -5.685601618133e-12       0.000000000000e+00       4.858865581856e-12       7.746026044853e-13      -5.142641752650e-15 
  132       5.158047975412e-10       1.504510689266e-13      -5.746634099322e-12       0.000000000000e+00       4.756245637101e-12       7.625405150156e-13      -5.092714516160e-15 
  133       5.205818439829e-10       1.510443782738e-13      -5.805570738535e-12       0.000000000000e+00       4.656499971343e-12       7.507670654264e-13      -5.042518599708e-15 
  134       5.253566087258e-10       1.515730729467e-13      -5.862344136851e-12       0.000000000000e+00       4.559473423966e-12       7.392609730995e-13      -4.991784327389e-15 
  135       5.301275766577e-10       1.520365636860e-13      -5.916887381784e-12       0.000000000000e+00       4.464989685416e-12       7.279983079236e-13      -4.940222426088e-15 
