# Matter power spectrum P(k) at redshift z=0
# for k=1.04375e-05 to 5.30986 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043745665836e-05       4.940778096086e+01 
       2.329224519523e-05       1.069963932736e+02 
       3.619208028898e-05       1.635326735373e+02 
       4.917152894015e-05       2.196416637915e+02 
       6.226572779308e-05       2.756762987242e+02 
       7.551069517301e-05       3.318993895874e+02 
       8.894365306462e-05       3.885345656055e+02 
       1.026033632986e-04       4.457870816665e+02 
       1.165304822446e-04       5.038544599815e+02 
       1.307679383444e-04       5.629328870206e+02 
       1.453613368224e-04       6.232216305515e+02 
       1.603593958578e-04       6.849264538864e+02 
       1.758144183256e-04       7.482625117213e+02 
       1.917828028567e-04       8.134569741366e+02 
       2.083255973238e-04       8.807515373413e+02 
       2.255090968112e-04       9.504048929803e+02 
       2.434054865002e-04       1.022695195767e+03 
       2.620935274928e-04       1.097922550850e+03 
       2.816592801254e-04       1.176411500364e+03 
       3.021968544873e-04       1.258513469374e+03 
       3.238091712680e-04       1.344609097069e+03 
       3.466087073251e-04       1.435110341627e+03 
       3.707181891232e-04       1.530462197105e+03 
       3.962711831718e-04       1.631143819979e+03 
       4.234125158137e-04       1.737668760993e+03 
       4.522984356668e-04       1.850584005349e+03 
       4.830964119988e-04       1.970467363714e+03 
       5.159844437636e-04       2.097922783592e+03 
       5.511497409001e-04       2.233573084771e+03 
       5.887866374824e-04       2.378049647640e+03 
       6.290936125906e-04       2.531978726508e+03 
       6.722693371682e-04       2.695964198980e+03 
       7.185077400877e-04       2.870566960121e+03 
       7.679921962544e-04       3.056281586646e+03 
       8.208890778160e-04       3.253511403152e+03 
       8.773410592820e-04       3.462543706529e+03 
       9.374606998803e-04       3.683527239835e+03 
       1.001324905842e-03       3.916454342706e+03 
       1.068970867955e-03       4.161149941995e+03 
       1.140393957381e-03       4.417269146491e+03 
       1.215547853233e-03       4.684304031917e+03 
       1.294346905426e-03       4.961599757387e+03 
       1.376670462416e-03       5.248365191212e+03 
       1.462368674450e-03       5.543708594876e+03 
       1.551269160446e-03       5.846715530237e+03 
       1.643183913569e-03       6.156410225258e+03 
