# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.395276838804e-10       4.089532664189e-15       3.513671247750e-13       0.000000000000e+00       8.380844902202e-09       4.570177125292e-10      -1.833283984816e-12 
    3       1.319208646328e-10       5.237388892244e-15       3.941446096256e-13       0.000000000000e+00       5.122307320142e-09       3.230654372040e-10      -1.387546099446e-12 
    4       1.247767588251e-10       4.529491312257e-15       3.683179857637e-13       0.000000000000e+00       3.544642207442e-09       2.441878393086e-10      -9.079257486695e-13 
    5       1.194271157751e-10       3.022539010250e-15       3.136524344261e-13       0.000000000000e+00       2.637118348062e-09       1.926355828059e-10      -5.045115673766e-13 
    6       1.157513882852e-10       1.691571655100e-15       2.527705755729e-13       0.000000000000e+00       2.054678793335e-09       1.565653737708e-10      -2.074724553222e-13 
    7       1.133474255886e-10       9.156804190562e-16       1.987506862186e-13       0.000000000000e+00       1.653952486004e-09       1.301163924375e-10      -1.809590819260e-14 
    8       1.119326246498e-10       5.919980627390e-16       1.572661917055e-13       0.000000000000e+00       1.364269158277e-09       1.100822355200e-10       7.852300293493e-14 
    9       1.112564216761e-10       4.757024996083e-16       1.295371727169e-13       0.000000000000e+00       1.146862328451e-09       9.455452713595e-11       1.055804530617e-13 
   10       1.110888584811e-10       4.055629227778e-16       1.142426220380e-13       0.000000000000e+00       9.788141910352e-10       8.226317033937e-11       8.874674384356e-14 
   11       1.113692128645e-10       3.409090575562e-16       1.087158681907e-13       0.000000000000e+00       8.380151504151e-10       7.307231946883e-11       5.193034414983e-14 
   12       1.119473761193e-10       2.971345247290e-16       1.099657720428e-13       0.000000000000e+00       7.323002591142e-10       6.460876039901e-11       1.253405652147e-14 
   13       1.127717540096e-10       2.852355836913e-16       1.153425401752e-13       0.000000000000e+00       6.455080864462e-10       5.773633897321e-11      -1.754885371544e-14 
   14       1.137919764667e-10       2.976102196054e-16       1.228258522823e-13       0.000000000000e+00       5.732924326685e-10       5.174541461547e-11      -3.408708265566e-14 
   15       1.149972748375e-10       3.228244289904e-16       1.311292976955e-13       0.000000000000e+00       5.125054823242e-10       4.670678616715e-11      -3.721670187806e-14 
   16       1.163143710085e-10       3.583242200505e-16       1.396473714685e-13       0.000000000000e+00       4.608185373372e-10       4.236632833512e-11      -3.080201356885e-14 
   17       1.177663869573e-10       4.092650327667e-16       1.481614840053e-13       0.000000000000e+00       4.164763213452e-10       3.857976998828e-11      -1.996380889051e-14 
   18       1.192919356894e-10       4.809706666970e-16       1.568205108383e-13       0.000000000000e+00       3.779913295324e-10       3.527533052553e-11      -9.560439039332e-15 
   19       1.209028027676e-10       5.738734157634e-16       1.658387774899e-13       0.000000000000e+00       3.447408875326e-10       3.240717692483e-11      -2.200141224357e-15 
   20       1.225906085004e-10       6.861231654433e-16       1.753945670987e-13       0.000000000000e+00       3.154565326927e-10       2.986399245057e-11       3.882764660903e-16 
   21       1.243574186912e-10       8.170522780956e-16       1.854539889675e-13       0.000000000000e+00       2.896787767776e-10       2.759904340244e-11      -1.244882591883e-15 
   22       1.261777997024e-10       9.661117591601e-16       1.958363259911e-13       0.000000000000e+00       2.667873183808e-10       2.555302006403e-11      -5.370720760581e-15 
   23       1.280556979505e-10       1.133613127564e-15       2.062173547025e-13       0.000000000000e+00       2.464679158503e-10       2.371557494887e-11      -1.025797648347e-14 
   24       1.299834066494e-10       1.319955137438e-15       2.161829825398e-13       0.000000000000e+00       2.282525915530e-10       2.206918461082e-11      -1.406174107307e-14 
   25       1.319642341582e-10       1.525260811501e-15       2.254389466908e-13       0.000000000000e+00       2.119272094200e-10       2.059568106479e-11      -1.596676699572e-14 
   26       1.339886386500e-10       1.749772690093e-15       2.337328143821e-13       0.000000000000e+00       1.971960154425e-10       1.926180301153e-11      -1.565178395650e-14 
   27       1.360502728413e-10       1.995365343102e-15       2.409611060929e-13       0.000000000000e+00       1.838828469484e-10       1.804861142903e-11      -1.372281105339e-14 
   28       1.381352212505e-10       2.264422176391e-15       2.470925311802e-13       0.000000000000e+00       1.717589675985e-10       1.693429135401e-11      -1.116641609402e-14 
   29       1.402528813441e-10       2.558430284969e-15       2.521749977142e-13       0.000000000000e+00       1.607625684732e-10       1.591733931167e-11      -8.631563452045e-15 
   30       1.424087660623e-10       2.878607005591e-15       2.563145865682e-13       0.000000000000e+00       1.507754326154e-10       1.499380103096e-11      -6.777680568342e-15 
   31       1.445978081606e-10       3.226104685625e-15       2.596262933576e-13       0.000000000000e+00       1.415937384070e-10       1.415094038671e-11      -6.212781035943e-15 
   32       1.468229007581e-10       3.601819313411e-15       2.620871078010e-13       0.000000000000e+00       1.331702416941e-10       1.337978027637e-11      -6.754289422830e-15 
   33       1.490805934475e-10       4.006496065931e-15       2.636279901393e-13       0.000000000000e+00       1.254456749637e-10       1.266548749620e-11      -7.878219754514e-15 
   34       1.513605549151e-10       4.440830904659e-15       2.641607701773e-13       0.000000000000e+00       1.183122542656e-10       1.198991379297e-11      -9.001808267556e-15 
   35       1.536654512822e-10       4.905685314329e-15       2.635431562019e-13       0.000000000000e+00       1.117335300790e-10       1.135499854309e-11      -9.846588528001e-15 
   36       1.559962847749e-10       5.401938287525e-15       2.615986066629e-13       0.000000000000e+00       1.056567067118e-10       1.076679702634e-11      -1.019395125727e-14 
   37       1.583496540994e-10       5.930429722459e-15       2.581616620938e-13       0.000000000000e+00       1.000026915637e-10       1.022840722138e-11      -9.869047093445e-15 
   38       1.607293194793e-10       6.491971851970e-15       2.532085474118e-13       0.000000000000e+00       9.475692768446e-11       9.737790745255e-12      -9.021665115194e-15 
   39       1.631372967590e-10       7.087336187178e-15       2.467700142989e-13       0.000000000000e+00       8.990284882937e-11       9.288707147691e-12      -7.941897538994e-15 
   40       1.655700137120e-10       7.717246516049e-15       2.388980328686e-13       0.000000000000e+00       8.539425199044e-11       8.870878311935e-12      -6.990845937973e-15 
   41       1.680213846803e-10       8.382383166210e-15       2.296443153476e-13       0.000000000000e+00       8.117140756380e-11       8.473121527970e-12      -6.506367694253e-15 
   42       1.704946432062e-10       9.083404888142e-15       2.189843771329e-13       0.000000000000e+00       7.722191311542e-11       8.094761423686e-12      -6.472391403050e-15 
   43       1.729933776244e-10       9.820928896383e-15       2.068709267342e-13       0.000000000000e+00       7.353529740723e-11       7.737382625470e-12      -6.749669853445e-15 
   44       1.755178776234e-10       1.059552159598e-14       1.932542288178e-13       0.000000000000e+00       7.008475756724e-11       7.401602834118e-12      -7.163157912837e-15 
   45       1.780665366835e-10       1.140769677340e-14       1.780861554358e-13       0.000000000000e+00       6.683673806903e-11       7.087199283787e-12      -7.540438115950e-15 
   46       1.806413449880e-10       1.225791563934e-14       1.613344367986e-13       0.000000000000e+00       6.378614662220e-11       6.793743113988e-12      -7.845916405238e-15 
   47       1.832434715782e-10       1.314658238456e-14       1.429721996987e-13       0.000000000000e+00       6.092945470880e-11       6.520003125362e-12      -8.082977557786e-15 
   48       1.858714437406e-10       1.407404091169e-14       1.229739821010e-13       0.000000000000e+00       5.825407619117e-11       6.263672033152e-12      -8.256949551659e-15 
   49       1.885209135920e-10       1.504057228548e-14       1.013157053907e-13       0.000000000000e+00       5.573769363015e-11       6.021289802607e-12      -8.375228950796e-15 
   50       1.911869732821e-10       1.604638375863e-14       7.797306382631e-14       0.000000000000e+00       5.335498418774e-11       5.789236042308e-12      -8.449100518106e-15 
   51       1.938723829893e-10       1.709157825289e-14       5.291624190960e-14       0.000000000000e+00       5.110151256576e-11       5.567202611887e-12      -8.499487437970e-15 
   52       1.965811728488e-10       1.817617218660e-14       2.611371513419e-14       0.000000000000e+00       4.897515903495e-11       5.355531094960e-12      -8.552978662115e-15 
   53       1.993161787468e-10       1.930010029897e-14      -2.466392356161e-15       0.000000000000e+00       4.696896894049e-11       5.154200394412e-12      -8.640471346541e-15 
   54       2.020789288401e-10       2.046321270391e-14      -3.285641000415e-14       0.000000000000e+00       4.507082723590e-11       4.962800376407e-12      -8.797375964802e-15 
   55       2.048701097187e-10       2.166534516062e-14      -6.508451384534e-14       0.000000000000e+00       4.326715623628e-11       4.780743080005e-12      -9.052599103982e-15 
   56       2.076913604763e-10       2.290655707704e-14      -9.915933109595e-14       0.000000000000e+00       4.155583020129e-11       4.608018167990e-12      -9.391816951944e-15 
   57       2.105437255555e-10       2.418694747119e-14      -1.350816900898e-13       0.000000000000e+00       3.993589893247e-11       4.444578981656e-12      -9.785437427892e-15 
   58       2.134270252350e-10       2.550658684310e-14      -1.728489149530e-13       0.000000000000e+00       3.840368059700e-11       4.290104689721e-12      -1.019879607294e-14 
   59       2.163397647330e-10       2.686551708130e-14      -2.124547443643e-13       0.000000000000e+00       3.695259301043e-11       4.143983188142e-12      -1.059192393026e-14 
   60       2.192790433098e-10       2.826375136924e-14      -2.538892503156e-13       0.000000000000e+00       3.557298491941e-11       4.005293999924e-12      -1.091931542520e-14 
   61       2.222418649600e-10       2.970116438303e-14      -2.971399985891e-13       0.000000000000e+00       3.425481698499e-11       3.873061703603e-12      -1.114041138216e-14 
   62       2.252296199131e-10       3.117713429558e-14      -3.421960183689e-13       0.000000000000e+00       3.299678962951e-11       3.747121377413e-12      -1.125432284247e-14 
   63       2.282444523331e-10       3.269081988475e-14      -3.890445835448e-13       0.000000000000e+00       3.179897396535e-11       3.627417952831e-12      -1.127252495026e-14 
   64       2.312879019889e-10       3.424125964761e-14      -4.376700086082e-13       0.000000000000e+00       3.066006614068e-11       3.513744479789e-12      -1.120893531186e-14 
   65       2.343608578280e-10       3.582736822596e-14      -4.880536068107e-13       0.000000000000e+00       2.957730904104e-11       3.405733610157e-12      -1.108002185910e-14 
   66       2.374635115515e-10       3.744793283177e-14      -5.401736483232e-13       0.000000000000e+00       2.854641399088e-11       3.302849081224e-12      -1.090491071268e-14 
   67       2.405953111885e-10       3.910160967269e-14      -5.940053183949e-13       0.000000000000e+00       2.756148245520e-11       3.204377199182e-12      -1.070549404545e-14 
   68       2.437555542877e-10       4.078706797891e-14      -6.495226558305e-13       0.000000000000e+00       2.661658192348e-11       3.109613113299e-12      -1.050220686706e-14 
