# Matter power spectrum P(k) at redshift z=50
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042721222072e-05       2.920192715198e-02 
       2.326940071722e-05       6.323955687534e-02 
       3.615650358602e-05       9.665609515119e-02 
       4.912298588895e-05       1.298213866625e-01 
       6.220387954818e-05       1.629444916668e-01 
       7.543509384604e-05       1.961812451253e-01 
       8.885373579883e-05       2.296643742416e-01 
       1.024984446421e-04       2.635158263075e-01 
       1.164097446970e-04       2.978530682684e-01 
       1.306304209218e-04       3.327928901735e-01 
       1.452059214576e-04       3.684540454761e-01 
       1.601847914240e-04       4.049592991758e-01 
       1.756191420481e-04       4.424371773112e-01 
       1.915651588556e-04       4.810235685860e-01 
       2.080836520204e-04       5.208632584225e-01 
       2.252406509312e-04       5.621114616743e-01 
       2.431080434315e-04       6.049353651998e-01 
       2.617642578047e-04       6.495156955931e-01 
       2.812949821548e-04       6.960483187092e-01 
       3.017939110511e-04       7.447458322099e-01 
       3.233635027954e-04       7.958391266199e-01 
       3.461157220481e-04       8.495788470744e-01 
       3.701727314300e-04       9.062366706734e-01 
       3.956674818632e-04       9.661062743806e-01 
       4.227441348055e-04       1.029503834801e+00 
       4.515582306692e-04       1.096767862199e+00 
       4.822764978386e-04       1.168258114929e+00 
       5.150761782152e-04       1.244353320185e+00 
       5.501437320088e-04       1.325447380081e+00 
       5.876727821383e-04       1.411943775349e+00 
       6.278611742111e-04       1.504247896227e+00 
       6.709070693508e-04       1.602757163832e+00 
       7.170040606051e-04       1.707848974995e+00 
       7.663354115254e-04       1.819866768175e+00 
       8.190676520760e-04       1.939104826967e+00 
       8.753439156747e-04       2.065792793895e+00 
       9.352775337530e-04       2.200081136176e+00 
       9.989464852370e-04       2.342028973884e+00 
       1.066389294278e-03       2.491595653721e+00 
       1.137602861595e-03       2.648637127093e+00 
       1.212542509737e-03       2.812907718030e+00 
       1.291124255813e-03       2.984067172463e+00 
       1.373229052481e-03       3.161683993906e+00 
       1.458708517675e-03       3.345258147733e+00 
       1.547391547860e-03       3.534262327647e+00 
       1.639091192574e-03       3.728120310104e+00 
       1.733611244858e-03       3.926238568418e+00 
