# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.406437646228e-10       3.148576659420e-15       3.061691789160e-13       0.000000000000e+00       8.313393317591e-09       4.637462043259e-10      -1.604888871887e-12 
    3       1.330031726880e-10       4.028738789354e-15       3.445727945978e-13       0.000000000000e+00       5.092402395630e-09       3.271734109123e-10      -1.212475202257e-12 
    4       1.258788046130e-10       3.479738472025e-15       3.228923619230e-13       0.000000000000e+00       3.524945821206e-09       2.470252354919e-10      -7.904269780166e-13 
    5       1.205698125876e-10       2.323615300293e-15       2.763336570155e-13       0.000000000000e+00       2.622382594945e-09       1.947089937880e-10      -4.359924120020e-13 
    6       1.169092072632e-10       1.310348416451e-15       2.247368471938e-13       0.000000000000e+00       2.043158345189e-09       1.581428392857e-10      -1.757608059810e-13 
    7       1.145251135757e-10       7.250637683738e-16       1.793525123144e-13       0.000000000000e+00       1.644793114617e-09       1.314408251184e-10      -1.069344874914e-14 
    8       1.131345820433e-10       4.832022944109e-16       1.449277833111e-13       0.000000000000e+00       1.356837745476e-09       1.112833972328e-10       7.262221842575e-14 
    9       1.124022803706e-10       3.955958610516e-16       1.223889630089e-13       0.000000000000e+00       1.140729805201e-09       9.559200280823e-11       9.489452041078e-14 
   10       1.122448429236e-10       3.409206486862e-16       1.104625854715e-13       0.000000000000e+00       9.737187183001e-10       8.308377844919e-11       7.892370885062e-14 
   11       1.124696265270e-10       2.911211841031e-16       1.068454343995e-13       0.000000000000e+00       8.335220681358e-10       7.369631138760e-11       4.580466919405e-14 
   12       1.130055725584e-10       2.599287589077e-16       1.091036476756e-13       0.000000000000e+00       7.284403863639e-10       6.533521284309e-11       1.099583000141e-14 
   13       1.138071547659e-10       2.564495062327e-16       1.150515447912e-13       0.000000000000e+00       6.421653452962e-10       5.825136818724e-11      -1.563048704893e-14 
   14       1.148013097638e-10       2.750572312499e-16       1.229843830575e-13       0.000000000000e+00       5.703777996788e-10       5.232688303424e-11      -2.975910486406e-14 
   15       1.159313026774e-10       3.071239127565e-16       1.318166303701e-13       0.000000000000e+00       5.099493889048e-10       4.718868025574e-11      -3.223187081713e-14 
   16       1.172137027883e-10       3.508135023483e-16       1.409393572634e-13       0.000000000000e+00       4.585658571574e-10       4.273260294176e-11      -2.658276307970e-14 
   17       1.186118488060e-10       4.100834752113e-16       1.501758629827e-13       0.000000000000e+00       4.144826388446e-10       3.894507475226e-11      -1.717180766073e-14 
   18       1.201126578002e-10       4.886840021813e-16       1.596045695976e-13       0.000000000000e+00       3.762210918846e-10       3.561896081192e-11      -8.266511762178e-15 
   19       1.217132236106e-10       5.868824067134e-16       1.693374712678e-13       0.000000000000e+00       3.431630577428e-10       3.268794958340e-11      -2.119631773703e-15 
   20       1.233553613181e-10       7.033270965361e-16       1.794519760060e-13       0.000000000000e+00       3.140476612288e-10       3.007883090490e-11      -1.724107759683e-16 
   21       1.250596529596e-10       8.379013986767e-16       1.898895546740e-13       0.000000000000e+00       2.884166431695e-10       2.778039847709e-11      -1.875900936610e-15 
   22       1.268380381816e-10       9.907098930392e-16       2.004864239341e-13       0.000000000000e+00       2.656526011372e-10       2.575915707270e-11      -5.649691134226e-15 
