# Matter power spectrum P(k) at redshift z=0
# for k=1.05238e-05 to 5.17653 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.375307679228e-02       2.420481853208e+04 
       1.388392936806e-02       2.424580685803e+04 
       1.401481847058e-02       2.428464084846e+04 
       1.414574423575e-02       2.432136402150e+04 
       1.427670682230e-02       2.435600446050e+04 
       1.440770641147e-02       2.438857839003e+04 
       1.453874320671e-02       2.441917485543e+04 
       1.466981743336e-02       2.444773484999e+04 
       1.480092933846e-02       2.447427138655e+04 
       1.493207919049e-02       2.449873429417e+04 
       1.506326727922e-02       2.452140041828e+04 
       1.519449391552e-02       2.454211755628e+04 
       1.532575943127e-02       2.456095611348e+04 
       1.545706417922e-02       2.457792941547e+04 
       1.558840853291e-02       2.459302472578e+04 
       1.571979288662e-02       2.460641732782e+04 
       1.585121765536e-02       2.461784855150e+04 
       1.598268327480e-02       2.462764544367e+04 
       1.611419020134e-02       2.463488668165e+04 
       1.624573891208e-02       2.464184862067e+04 
       1.637732990493e-02       2.464643738017e+04 
       1.650896369862e-02       2.464938315395e+04 
       1.664064083282e-02       2.465058848092e+04 
       1.677236186824e-02       2.465015810361e+04 
       1.690412738678e-02       2.464812346736e+04 
       1.703593799161e-02       2.464453133568e+04 
       1.716779430738e-02       2.463934005956e+04 
       1.729969698041e-02       2.463266907226e+04 
       1.743164667883e-02       2.462432765922e+04 
       1.756364409285e-02       2.461456247586e+04 
       1.769568993495e-02       2.460266587292e+04 
       1.782778494014e-02       2.459060201450e+04 
       1.795992986624e-02       2.457652245144e+04 
       1.809212549413e-02       2.456017968096e+04 
       1.822437262806e-02       2.454400740500e+04 
       1.835667209598e-02       2.452564527733e+04 
       1.848902474983e-02       2.450594423318e+04 
       1.862143146592e-02       2.448447784262e+04 
       1.875389314530e-02       2.446212628152e+04 
       1.888641071411e-02       2.443888517903e+04 
       1.901898512400e-02       2.441406219330e+04 
       1.915161735252e-02       2.438787298965e+04 
       1.928430840359e-02       2.436036812006e+04 
       1.941705930793e-02       2.433118815065e+04 
       1.954987112351e-02       2.430075567592e+04 
       1.968274493606e-02       2.427079677874e+04 
       1.981568185958e-02       2.423863830774e+04 
       1.994868303684e-02       2.420429377972e+04 
       2.008174963992e-02       2.417000960920e+04 
       2.021488287080e-02       2.413459894741e+04 
       2.034808396192e-02       2.409800797154e+04 
       2.048135417677e-02       2.406090770381e+04 
       2.061469481054e-02       2.402153341609e+04 
       2.074810719073e-02       2.398229792683e+04 
       2.088159267786e-02       2.394152693589e+04 
       2.101515266609e-02       2.389895151381e+04 
       2.114878858397e-02       2.385599263074e+04 
       2.128250189518e-02       2.381234165643e+04 
       2.141629409926e-02       2.376846710981e+04 
       2.155016673238e-02       2.372183794732e+04 
       2.168412136818e-02       2.367573575594e+04 
       2.181815961855e-02       2.362872028000e+04 
       2.195228313454e-02       2.357961080525e+04 
       2.208649360719e-02       2.353038283671e+04 
       2.222079276846e-02       2.348041005242e+04 
       2.235518239220e-02       2.342954427730e+04 
       2.248966429504e-02       2.337787067551e+04 
       2.262424033746e-02       2.332612264109e+04 
       2.275891242479e-02       2.327212579022e+04 
       2.289368250826e-02       2.321890956560e+04 
       2.302855258609e-02       2.316345752037e+04 
       2.316352470468e-02       2.310795599171e+04 
       2.329860095966e-02       2.305168247289e+04 
       2.343378349719e-02       2.299538914500e+04 
       2.356907451516e-02       2.293712875651e+04 
       2.370447626445e-02       2.287935389513e+04 
       2.383999105025e-02       2.282007300596e+04 
       2.397562123346e-02       2.276030740408e+04 
       2.411136923202e-02       2.270018175904e+04 
       2.424723752242e-02       2.263980599002e+04 
       2.438322864115e-02       2.257797913853e+04 
       2.451934518623e-02       2.251611059739e+04 
       2.465558981886e-02       2.245322235446e+04 
       2.479196526498e-02       2.239063271300e+04 
       2.492847431701e-02       2.232698249006e+04 
       2.506511983559e-02       2.226209755037e+04 
       2.520190475138e-02       2.219745196722e+04 
       2.533883206692e-02       2.213232619077e+04 
       2.547590485855e-02       2.206658996061e+04 
       2.561312627841e-02       2.200071482922e+04 
       2.575049955649e-02       2.193341606362e+04 
       2.588802800277e-02       2.186626356851e+04 
       2.602571500936e-02       2.179891739992e+04 
       2.616356405286e-02       2.173075137843e+04 
       2.630157869660e-02       2.166234454497e+04 
       2.643976259317e-02       2.159382686288e+04 
       2.657811948686e-02       2.152443323958e+04 
       2.671665321626e-02       2.145462367953e+04 
       2.685536771702e-02       2.138461425807e+04 
       2.699426702454e-02       2.131416282043e+04 
       2.713335527690e-02       2.124345407175e+04 
       2.727263671785e-02       2.117241817369e+04 
       2.741211569988e-02       2.110147184740e+04 
       2.755179668743e-02       2.102936524514e+04 
       2.769168426020e-02       2.095738770579e+04 
       2.783178311660e-02       2.088526033636e+04 
       2.797209807733e-02       2.081259866174e+04 
       2.811263408902e-02       2.074001717855e+04 
       2.825339622815e-02       2.066661639974e+04 
       2.839438970495e-02       2.059351103954e+04 
       2.853561986760e-02       2.051969479726e+04 
       2.867709220645e-02       2.044596678638e+04 
       2.881881235854e-02       2.037189396804e+04 
       2.896078611218e-02       2.029749719494e+04 
       2.910301941177e-02       2.022303834673e+04 
       2.924551836280e-02       2.014841344889e+04 
