# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.406442347170e-10       3.148837291467e-15       3.061691750360e-13       2.606320043531e-19       8.313393317591e-09       4.637462043259e-10      -1.604888871887e-12 
    3       1.330041105526e-10       4.029260143270e-15       3.445727772925e-13       5.213534976884e-19       5.092402395630e-09       3.271734109123e-10      -1.212475202257e-12 
    4       1.258803626209e-10       3.480607593982e-15       3.228923121450e-13       8.691199080029e-19       3.524945821206e-09       2.470252354919e-10      -7.904269780166e-13 
    5       1.205721401889e-10       2.324919353841e-15       2.763335434665e-13       1.304046546361e-18       2.622382594945e-09       1.947089937880e-10      -4.359924120020e-13 
    6       1.169124504008e-10       1.312174709679e-15       2.247366235724e-13       1.826274182552e-18       2.043158345189e-09       1.581428392857e-10      -1.757608059810e-13 
    7       1.145294141901e-10       7.274997794753e-16       1.793521147559e-13       2.435966926964e-18       1.644793114617e-09       1.314408251184e-10      -1.069344874914e-14 
    8       1.131400776779e-10       4.863356952043e-16       1.449271280525e-13       3.133309811508e-18       1.356837745476e-09       1.112833972328e-10       7.262221842575e-14 
    9       1.124091038838e-10       3.995145379674e-16       1.223879443040e-13       3.918506130065e-18       1.140729805201e-09       9.559200280823e-11       9.489452041078e-14 
   10       1.122531223116e-10       3.457127206873e-16       1.104610737767e-13       4.791774603943e-18       9.737187183001e-10       8.308377844919e-11       7.892370885062e-14 
   11       1.124794848570e-10       2.968750169849e-16       1.068432748469e-13       5.753346440891e-18       8.335220681358e-10       7.369631138760e-11       4.580466919405e-14 
   12       1.130171280068e-10       2.667329754135e-16       1.091006588436e-13       6.803462357079e-18       7.284403863639e-10       6.533521284309e-11       1.099583000141e-14 
   13       1.138205207554e-10       2.643929914387e-16       1.150475177782e-13       7.942369630375e-18       6.421653452962e-10       5.825136818724e-11      -1.563048704893e-14 
   14       1.148165951867e-10       2.842291327130e-16       1.229790808599e-13       9.170319250030e-18       5.703777996788e-10       5.232688303424e-11      -2.975910486406e-14 
   15       1.159486121927e-10       3.176136349852e-16       1.318097875610e-13       1.048756322281e-17       5.099493889048e-10       4.718868025574e-11      -3.223187081713e-14 
   16       1.172331371759e-10       3.627106952518e-16       1.409306799656e-13       1.189435208887e-17       4.585658571574e-10       4.273260294176e-11      -2.658276307970e-14 
   17       1.186335053614e-10       4.234780162968e-16       1.501650291244e-13       1.339093269248e-17       4.144826388446e-10       3.894507475226e-11      -1.717180766073e-14 
   18       1.201366307588e-10       5.036659726185e-16       1.595912294419e-13       1.497754614177e-17       3.762210918846e-10       3.561896081192e-11      -8.266511762178e-15 
   19       1.217396045345e-10       6.035420600839e-16       1.693212481867e-13       1.665442669280e-17       3.431630577428e-10       3.268794958340e-11      -2.119631773703e-15 
   20       1.233842395588e-10       7.217548236715e-16       1.794324675212e-13       1.842179933036e-17       3.140476612288e-10       3.007883090490e-11      -1.724107759683e-16 
   21       1.250911159698e-10       8.581876844573e-16       1.898663336800e-13       2.027988039122e-17       2.884166431695e-10       2.778039847709e-11      -1.875900936610e-15 
   22       1.268721719112e-10       1.012945269604e-15       2.004590401936e-13       2.222887506186e-17       2.656526011372e-10       2.575915707270e-11      -5.649691134226e-15 
   23       1.287158848301e-10       1.186649381765e-15       2.109409516144e-13       2.426897945800e-17       2.454506729378e-10       2.396365602088e-11      -9.951680687202e-15 
   24       1.305846566121e-10       1.379959270236e-15       2.209741888141e-13       2.640037771384e-17       2.273494440421e-10       2.231812453835e-11      -1.317262890950e-14 
   25       1.324909705228e-10       1.593361657730e-15       2.303123764976e-13       2.862324458268e-17       2.111032748018e-10       2.081902528596e-11      -1.468443526731e-14 
   26       1.344480860914e-10       1.827382771027e-15       2.387455128754e-13       3.093774340449e-17       1.963940934495e-10       1.947084853881e-11      -1.430089523393e-14 
   27       1.364634344246e-10       2.083448935440e-15       2.462006805283e-13       3.334403251482e-17       1.831456326776e-10       1.826479744391e-11      -1.248889764174e-14 
   28       1.385236364806e-10       2.363410064598e-15       2.526640829968e-13       3.584225886865e-17       1.711973178750e-10       1.717028047591e-11      -1.011628825490e-14 
   29       1.406004957392e-10       2.669137160542e-15       2.581453676837e-13       3.843255808555e-17       1.602589504533e-10       1.614545864537e-11      -8.145192203958e-15 
   30       1.426988856178e-10       3.001789958424e-15       2.626655409197e-13       4.111506543416e-17       1.502702191931e-10       1.519073814563e-11      -6.892449266677e-15 
   31       1.448241288774e-10       3.362253229930e-15       2.662676942489e-13       4.388990790623e-17       1.411569547891e-10       1.431426694700e-11      -6.484584319453e-15 
   32       1.469732600285e-10       3.751362671665e-15       2.689884484053e-13       4.675720344625e-17       1.327749287771e-10       1.351732292837e-11      -6.964338777699e-15 
   33       1.491534301973e-10       4.170077471810e-15       2.707404185264e-13       4.971707042127e-17       1.250784994285e-10       1.279383694351e-11      -8.009287274185e-15 
   34       1.513680320094e-10       4.619361893822e-15       2.713850613256e-13       5.276962089216e-17       1.179995223282e-10       1.212926294497e-11      -9.096386511147e-15 
   35       1.536138430404e-10       5.100132922865e-15       2.707805985224e-13       5.591496017004e-17       1.114326417636e-10       1.150571220054e-11      -9.702702567563e-15 
   36       1.558917476287e-10       5.613248581772e-15       2.688482952062e-13       5.915319504386e-17       1.053608405342e-10       1.092220629345e-11      -9.781472061234e-15 
   37       1.581980873059e-10       6.159508371454e-15       2.655280683246e-13       6.248442804331e-17       9.976511474402e-11       1.038062118249e-11      -9.448068690966e-15 
   38       1.605207103064e-10       6.739650770171e-15       2.607609412991e-13       6.590875508930e-17       9.458651522358e-11       9.879953871791e-12      -8.857629711998e-15 
   39       1.628453080353e-10       7.354368522145e-15       2.544994439846e-13       6.942626649198e-17       8.974741782384e-11       9.416996693921e-12      -8.182635499238e-15 
   40       1.651791402845e-10       8.004371438065e-15       2.467430602697e-13       7.303705067880e-17       8.523302398125e-11       8.989339676198e-12      -7.529357723216e-15 
   41       1.675339431349e-10       8.690337669003e-15       2.375148803367e-13       7.674119151426e-17       8.103148033420e-11       8.592908103083e-12      -6.997803702676e-15 
   42       1.699191036196e-10       9.412893032567e-15       2.268530416886e-13       8.053876723161e-17       7.710955982880e-11       8.220874638365e-12      -6.705567225311e-15 
   43       1.723407879921e-10       1.017261435030e-14       2.147911076809e-13       8.442984951858e-17       7.342495779713e-11       7.865800268824e-12      -6.751279055297e-15 
