# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.656663568323e-10       7.782655063219e-15       2.387048520667e-13       6.587918539633e-17       8.539425199044e-11       8.870878311935e-12      -6.990845937973e-15 
   41       1.681217810456e-10       8.451039491853e-15       2.294369192526e-13       6.921954149377e-17       8.117140756380e-11       8.473121527970e-12      -6.506367694253e-15 
   42       1.705991373928e-10       9.155380535508e-15       2.187623852519e-13       7.264404401810e-17       7.722191311542e-11       8.094761423686e-12      -6.472391403050e-15 
   43       1.731020111819e-10       9.896294363203e-15       2.066340093407e-13       7.615273642173e-17       7.353529740723e-11       7.737382625470e-12      -6.749669853445e-15 
   44       1.756306889743e-10       1.067434627450e-14       1.930021133781e-13       7.974565452809e-17       7.008475756724e-11       7.401602834118e-12      -7.163157912837e-15 
   45       1.781835612307e-10       1.149004887320e-14       1.778186328289e-13       8.342282274638e-17       6.683673806903e-11       7.087199283787e-12      -7.540438115950e-15 
   46       1.807626159333e-10       1.234386205493e-14       1.610513662495e-13       8.718424175028e-17       6.378614662220e-11       6.793743113988e-12      -7.845916405238e-15 
   47       1.833690202319e-10       1.323618859981e-14       1.426735150422e-13       9.102989683860e-17       6.092945470880e-11       6.520003125362e-12      -8.082977557786e-15 
   48       1.860012996418e-10       1.416737091678e-14       1.226596986900e-13       9.495976087592e-17       5.825407619117e-11       6.263672033152e-12      -8.256949551659e-15 
   49       1.886551046347e-10       1.513768849188e-14       1.009859272294e-13       9.897379392113e-17       5.573769363015e-11       6.021289802607e-12      -8.375228950796e-15 
   50       1.913255259096e-10       1.614734689587e-14       7.762798937993e-14       1.030719430748e-16       5.335498418774e-11       5.789236042308e-12      -8.449100518106e-15 
   51       1.940153226017e-10       1.719644720972e-14       5.255616499454e-14       1.072541428345e-16       5.110151256576e-11       5.567202611887e-12      -8.499487437970e-15 
   52       1.967285240655e-10       1.828500388914e-14       2.573902978191e-14       1.115203141938e-16       4.897515903495e-11       5.355531094960e-12      -8.552978662115e-15 
   53       1.994679656213e-10       1.941294960083e-14      -2.855185453485e-15       1.158703640791e-16       4.696896894049e-11       5.154200394412e-12      -8.640471346541e-15 
   54       2.022351750833e-10       2.058013227349e-14      -3.325869689545e-14       1.203041849885e-16       4.507082723590e-11       4.962800376407e-12      -8.797375964802e-15 
   55       2.050308386897e-10       2.178638538657e-14      -6.549956312884e-14       1.248216634607e-16       4.326715623628e-11       4.780743080005e-12      -9.052599103982e-15 
   56       2.078565943872e-10       2.303176604000e-14      -9.958629799600e-14       1.294227087742e-16       4.155583020129e-11       4.608018167990e-12      -9.391816951944e-15 
   57       2.107134852831e-10       2.431637086074e-14      -1.355196140519e-13       1.341072307448e-16       3.993589893247e-11       4.444578981656e-12      -9.785437427892e-15 
   58       2.136013303560e-10       2.564026785324e-14      -1.732967148087e-13       1.388751315034e-16       3.840368059700e-11       4.290104689721e-12      -1.019879607294e-14 
   59       2.165186335592e-10       2.700349630386e-14      -2.129112134425e-13       1.437263054786e-16       3.695259301043e-11       4.143983188142e-12      -1.059192393026e-14 
   60       2.194624929228e-10       2.840606668536e-14      -2.543530515014e-13       1.486606393797e-16       3.557298491941e-11       4.005293999924e-12      -1.091931542520e-14 
   61       2.224299108750e-10       2.984785095593e-14      -2.976096616808e-13       1.536780279846e-16       3.425481698499e-11       3.873061703603e-12      -1.114041138216e-14 
   62       2.254222745297e-10       3.132822489863e-14      -3.426699450486e-13       1.587784256835e-16       3.299678962951e-11       3.747121377413e-12      -1.125432284247e-14 
   63       2.284417243256e-10       3.284634496631e-14      -3.895210463586e-13       1.639618065267e-16       3.179897396535e-11       3.627417952831e-12      -1.127252495026e-14 
   64       2.314897960302e-10       3.440124730035e-14      -4.381471477671e-13       1.692281499157e-16       3.066006614068e-11       3.513744479789e-12      -1.120893531186e-14 
   65       2.345673743026e-10       3.599184415746e-14      -4.885294270144e-13       1.745774410870e-16       2.957730904104e-11       3.405733610157e-12      -1.108002185910e-14 
   66       2.376746462557e-10       3.761692033642e-14      -5.406460156048e-13       1.800096715966e-16       2.854641399088e-11       3.302849081224e-12      -1.090491071268e-14 
   67       2.408110550182e-10       3.927512960481e-14      -5.944719569875e-13       1.855248398043e-16       2.756148245520e-11       3.204377199182e-12      -1.070549404545e-14 
   68       2.439758930392e-10       4.096513886289e-14      -6.499811453693e-13       1.911229590311e-16       2.661658192348e-11       3.109613113299e-12      -1.050220686706e-14 
   69       2.471703254022e-10       4.268610254317e-14      -7.071526918217e-13       1.968040828676e-16       2.571101937783e-11       3.018482504580e-12      -1.030012257385e-14 
   70       2.503956949489e-10       4.443727835923e-14      -7.659657789154e-13       2.025682858876e-16       2.484500061920e-11       2.931031146943e-12      -1.010022081675e-14 
   71       2.536528892750e-10       4.621788827526e-14      -8.263978028996e-13       2.084156570966e-16       2.401803528260e-11       2.847237791052e-12      -9.903466443149e-15 
   72       2.569423106541e-10       4.802711871134e-14      -8.884243825385e-13       2.143463006129e-16       2.322890084515e-11       2.767010629657e-12      -9.710806590946e-15 
   73       2.602638459621e-10       4.986412074857e-14      -9.520193679473e-13       2.203603363481e-16       2.247560663405e-11       2.690183762939e-12      -9.523167782604e-15 
   74       2.636168366007e-10       5.172801033429e-14      -1.017154849429e-12       2.264579006872e-16       2.175535783471e-11       2.616513663848e-12      -9.341453019194e-15 
   75       2.670000484220e-10       5.361786848727e-14      -1.083801166309e-12       2.326391471698e-16       2.106451949871e-11       2.545675643443e-12      -9.166538874447e-15 
   76       2.704122713957e-10       5.553267618022e-14      -1.151926346365e-12       2.389042391993e-16       2.039951903899e-11       2.477347845873e-12      -8.999305631289e-15 
   77       2.738543113435e-10       5.747110482469e-14      -1.221494286553e-12       2.452533251335e-16       1.975982327536e-11       2.411488729905e-12      -8.840740459664e-15 
   78       2.773273084526e-10       5.943168777533e-14      -1.292466255038e-12       2.516865598672e-16       1.914544139971e-11       2.348104000818e-12      -8.691847861576e-15 
   79       2.808321228683e-10       6.141288114729e-14      -1.364801428383e-12       2.582041129087e-16       1.855601817316e-11       2.287161858054e-12      -8.553616105411e-15 
   80       2.843693175309e-10       6.341306268191e-14      -1.438456888702e-12       2.648061688970e-16       1.799081717861e-11       2.228591255424e-12      -8.427014997552e-15 
   81       2.879391410137e-10       6.543053061239e-14      -1.513387620825e-12       2.714929281185e-16       1.744870407313e-11       2.172280161319e-12      -8.312993653989e-15 
   82       2.915415103599e-10       6.746350252954e-14      -1.589546509459e-12       2.782646070250e-16       1.692812984051e-11       2.118073818916e-12      -8.212478271936e-15 
   83       2.951759939204e-10       6.951011424743e-14      -1.666884336341e-12       2.851214387498e-16       1.642711404369e-11       2.065773006383e-12      -8.126369901436e-15 
   84       2.988420972018e-10       7.156849012635e-14      -1.745350363375e-12       2.920636704983e-16       1.594372630844e-11       2.015183534378e-12      -8.055128634766e-15 
   85       3.025402124536e-10       7.363696992101e-14      -1.824894199296e-12       2.990915540868e-16       1.547765917051e-11       1.966277977605e-12      -7.997451853843e-15 
   86       3.062707957677e-10       7.571391763413e-14      -1.905464238690e-12       3.062053547759e-16       1.502888647978e-11       1.919057689758e-12      -7.951371759807e-15 
   87       3.100340661718e-10       7.779765346856e-14      -1.987007110444e-12       3.134053547160e-16       1.459718010183e-11       1.873503084388e-12      -7.914640429038e-15 
   88       3.138299935600e-10       7.988645389393e-14      -2.069467684751e-12       3.206918534118e-16       1.418210154402e-11       1.829572756240e-12      -7.884720633810e-15 
   89       3.176582866220e-10       8.197855171335e-14      -2.152789080124e-12       3.280651681870e-16       1.378299358163e-11       1.787202602594e-12      -7.858776662944e-15 
   90       3.215183807740e-10       8.407213613002e-14      -2.236912670401e-12       3.355256346487e-16       1.339897188395e-11       1.746304944601e-12      -7.833665142451e-15 
   91       3.254094260881e-10       8.616535281394e-14      -2.321778091751e-12       3.430736071517e-16       1.302891664040e-11       1.706767648621e-12      -7.805925856192e-15 
   92       3.293302752225e-10       8.825630396855e-14      -2.407323249689e-12       3.507094592637e-16       1.267146418661e-11       1.668453247562e-12      -7.771772566522e-15 
   93       3.332798327056e-10       9.034307609109e-14      -2.493485151546e-12       3.584335925917e-16       1.232533061816e-11       1.631233119761e-12      -7.727960867941e-15 
   94       3.372581890964e-10       9.242382788488e-14      -2.580202531904e-12       3.662464637720e-16       1.199035649544e-11       1.595097814352e-12      -7.674560994131e-15 
   95       3.412656358790e-10       9.449671575382e-14      -2.667413636825e-12       3.741485624174e-16       1.166660451112e-11       1.560061771492e-12      -7.612587010064e-15 
