# Matter power spectrum P(k) at redshift z=0
# for k=1.03501e-05 to 5.4408 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035010489206e-05       5.063710594778e+01 
       2.299951983938e-05       1.092116089104e+02 
       3.569206394202e-05       1.667152921189e+02 
       4.846066879857e-05       2.237760773512e+02 
       6.133879338181e-05       2.807474520623e+02 
       7.436071179341e-05       3.378915196509e+02 
       8.756180993068e-05       3.954304786436e+02 
       1.009788948804e-04       4.535675554958e+02 
       1.146505208849e-04       5.124977138665e+02 
       1.286173357568e-04       5.724140384536e+02 
       1.429224516310e-04       6.335121148448e+02 
       1.576118439022e-04       6.959933816676e+02 
       1.727347820601e-04       7.600679481426e+02 
       1.883442958487e-04       8.259571290405e+02 
       2.044976796583e-04       8.938958457324e+02 
       2.212570372058e-04       9.641349882990e+02 
       2.386898672383e-04       1.036943762221e+03 
       2.568696890295e-04       1.112612052724e+03 
       2.758767036082e-04       1.191452792687e+03 
       2.957984827068e-04       1.273804306363e+03 
       3.167306720198e-04       1.360032559582e+03 
       3.387776882011e-04       1.450533234859e+03 
       3.620533797543e-04       1.545733484055e+03 
       3.866816103334e-04       1.646093188986e+03 
       4.127967088914e-04       1.752105483829e+03 
       4.405437148528e-04       1.864296247891e+03 
       4.700783288913e-04       1.983222209493e+03 
       5.015664626820e-04       2.109467253102e+03 
       5.351832670591e-04       2.243636457364e+03 
       5.711115116476e-04       2.386347471921e+03 
       6.095391959832e-04       2.538218800305e+03 
       6.506562990026e-04       2.699854786711e+03 
       6.946506269056e-04       2.871827325396e+03 
       7.417028025729e-04       3.054654653784e+03 
       7.919805513696e-04       3.248778083097e+03 
       8.456325682814e-04       3.454538029377e+03 
       9.027823798949e-04       3.672151055706e+03 
       9.635227132085e-04       3.901690257610e+03 
       1.027910920460e-03       4.143070912027e+03 
       1.095965961032e-03       4.396043522003e+03 
       1.167667301727e-03       4.660195321606e+03 
       1.242955883230e-03       4.934960556856e+03 
       1.321737053802e-03       5.219638798674e+03 
       1.403885142528e-03       5.513419327687e+03 
       1.489249180356e-03       5.815404580943e+03 
       1.577659204535e-03       6.124625648567e+03 
       1.668932602439e-03       6.440137864521e+03 
       1.762880043597e-03       6.760970809479e+03 
       1.859310681944e-03       7.086175468134e+03 
       1.958036451314e-03       7.414840884098e+03 
       2.058875401517e-03       7.746106656290e+03 
       2.161654116461e-03       8.079170834978e+03 
       2.266209316294e-03       8.413294919715e+03 
       2.372388776088e-03       8.747805214846e+03 
       2.480051701112e-03       9.082092205272e+03 
       2.589068691009e-03       9.415608397405e+03 
       2.699321408840e-03       9.747864795540e+03 
       2.810702051152e-03       1.007842724494e+04 
       2.923112695208e-03       1.040691239711e+04 
       3.036464581297e-03       1.073298224946e+04 
       3.150677372556e-03       1.105634165056e+04 
       3.265678422065e-03       1.137673213300e+04 
       3.381402067179e-03       1.169392926135e+04 
       3.497788963535e-03       1.200773911809e+04 
       3.614785465747e-03       1.231799373411e+04 
       3.732343057849e-03       1.262455074210e+04 
       3.850417833891e-03       1.292728982380e+04 
       3.968970027289e-03       1.322610720539e+04 
       4.087963586414e-03       1.352091718506e+04 
       4.207365793279e-03       1.381165168694e+04 
       4.327146921875e-03       1.409825179046e+04 
       4.447279932623e-03       1.438067325253e+04 
       4.567740199496e-03       1.465888433650e+04 
       4.688505266527e-03       1.493284767274e+04 
       4.809554630623e-03       1.520251382683e+04 
       4.930869547882e-03       1.546797778035e+04 
       5.052432860830e-03       1.572915368778e+04 
       5.174228844272e-03       1.598601385374e+04 
       5.296243067669e-03       1.623868929083e+04 
       5.418462272188e-03       1.648714690435e+04 
       5.540874260778e-03       1.673134735924e+04 
       5.663467799780e-03       1.697132644194e+04 
       5.786232530811e-03       1.720636976921e+04 
       5.909158891728e-03       1.743798145324e+04 
       6.032238045690e-03       1.766539311214e+04 
       6.155461817395e-03       1.788878766170e+04 
       6.278822635716e-03       1.810823072745e+04 
       6.402313482025e-03       1.832383534502e+04 
       6.525927843581e-03       1.853490219503e+04 
       6.649659671455e-03       1.874207054119e+04 
       6.773503342480e-03       1.894522244231e+04 
       6.897453624819e-03       1.914457728903e+04 
       7.021505646764e-03       1.934002658018e+04 
       7.145654868428e-03       1.953170624458e+04 
       7.269897056035e-03       1.971948695452e+04 
       7.394228258538e-03       1.990335554277e+04 
       7.518644786339e-03       2.008374801422e+04 
       7.643143191892e-03       2.026087635431e+04 
       7.767720252004e-03       2.043386902454e+04 
       7.892372951677e-03       2.060320660796e+04 
       8.017098469329e-03       2.076896857065e+04 
       8.141894163266e-03       2.093124973548e+04 
       8.266757559300e-03       2.109000704217e+04 
       8.391686339379e-03       2.124529866953e+04 
       8.516678331161e-03       2.139716835324e+04 
       8.641731498430e-03       2.154566952115e+04 
       8.766843932283e-03       2.169080922464e+04 
       8.892013843021e-03       2.183260506351e+04 
       9.017239552674e-03       2.197117284592e+04 
       9.142519488113e-03       2.210650517064e+04 
       9.267852174693e-03       2.223862669892e+04 
       9.393236230384e-03       2.236761914136e+04 
       9.518670360343e-03       2.249267246320e+04 
       9.644153351900e-03       2.261623941597e+04 
       9.769684069916e-03       2.273592511502e+04 
       9.895261452481e-03       2.285272491023e+04 
       1.002088450693e-02       2.296635874133e+04 
       1.014655230617e-02       2.307713056530e+04 
       1.027226398520e-02       2.318498627392e+04 
       1.039801873799e-02       2.328994511606e+04 
       1.052381581452e-02       2.339216279472e+04 
       1.064965451800e-02       2.349141985188e+04 
       1.077553420235e-02       2.358796547961e+04 
       1.090145426983e-02       2.368173696249e+04 
       1.102741416882e-02       2.377283075633e+04 
       1.115341339179e-02       2.386131248176e+04 
       1.127945147338e-02       2.394700317656e+04 
       1.140552798864e-02       2.403020516475e+04 
