# Matter power spectrum P(k) at redshift z=10
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042721222072e-05       6.562005037483e-01 
       2.326940071722e-05       1.421060736279e+00 
       3.615650358602e-05       2.171954960146e+00 
       4.912298588895e-05       2.917188943253e+00 
       6.220387954818e-05       3.661455117782e+00 
       7.543509384604e-05       4.408249413332e+00 
       8.885373579883e-05       5.160547988762e+00 
       1.024984446421e-04       5.921083930209e+00 
       1.164097446970e-04       6.692488639543e+00 
       1.306304209218e-04       7.477377121022e+00 
       1.452059214576e-04       8.278406955354e+00 
       1.601847914240e-04       9.098324014382e+00 
       1.756191420481e-04       9.940001339009e+00 
       1.915651588556e-04       1.080647458619e+01 
       2.080836520204e-04       1.170097597561e+01 
       2.252406509312e-04       1.262696787892e+01 
       2.431080434315e-04       1.358817655168e+01 
       2.617642578047e-04       1.458862629799e+01 
       2.812949821548e-04       1.563267388434e+01 
       3.017939110511e-04       1.672504264939e+01 
       3.233635027954e-04       1.787085539215e+01 
       3.461157220481e-04       1.907566459369e+01 
       3.701727314300e-04       2.034547781984e+01 
       3.956674818632e-04       2.168677556816e+01 
       4.227441348055e-04       2.310651763136e+01 
       4.515582306692e-04       2.461213359690e+01 
       4.822764978386e-04       2.621149164814e+01 
       5.150761782152e-04       2.791283909742e+01 
       5.501437320088e-04       2.972470811823e+01 
       5.876727821383e-04       3.165577945894e+01 
       6.278611742111e-04       3.371469916513e+01 
       6.709070693508e-04       3.590984497129e+01 
       7.170040606051e-04       3.824904449191e+01 
       7.663354115254e-04       4.073925280477e+01 
       8.190676520760e-04       4.338620474965e+01 
       8.753439156747e-04       4.619406576785e+01 
       9.352775337530e-04       4.916511044291e+01 
       9.989464852370e-04       5.229946302195e+01 
       1.066389294278e-03       5.559493091278e+01 
       1.137602861595e-03       5.904695626683e+01 
       1.212542509737e-03       6.264869706363e+01 
       1.291124255813e-03       6.639123386062e+01 
       1.373229052481e-03       7.026370047256e+01 
       1.458708517675e-03       7.425384351862e+01 
       1.547391547860e-03       7.834898291361e+01 
       1.639091192574e-03       8.253558400897e+01 
       1.733611244858e-03       8.679999057651e+01 
       1.830752139510e-03       9.112876724312e+01 
       1.930315910054e-03       9.550898004057e+01 
       2.032110103673e-03       9.992840340298e+01 
       2.135950671017e-03       1.043756533050e+02 
       2.241663927392e-03       1.088402774856e+02 
       2.349087725404e-03       1.133127753528e+02 
       2.458071993982e-03       1.177845949515e+02 
       2.568478793794e-03       1.222480911111e+02 
       2.680182022510e-03       1.266964719220e+02 
       2.793066881599e-03       1.311237355226e+02 
       2.907029193666e-03       1.355245854237e+02 
       3.021974638312e-03       1.398943809336e+02 
       3.137817956453e-03       1.442290426227e+02 
       3.254482158223e-03       1.485250206396e+02 
       3.371897758070e-03       1.527792055068e+02 
       3.490002051858e-03       1.569889066180e+02 
       3.608738444355e-03       1.611517787145e+02 
       3.728055830933e-03       1.652658330431e+02 
       3.847908034132e-03       1.693293237587e+02 
       3.968253293661e-03       1.733408167468e+02 
       4.089053807114e-03       1.772990632643e+02 
       4.210275317943e-03       1.812030769463e+02 
       4.331886746844e-03       1.850520022799e+02 
       4.453859862672e-03       1.888452352429e+02 
       4.576168989034e-03       1.925822261405e+02 
       4.698790742927e-03       1.962626021332e+02 
       4.821703802024e-03       1.998861471999e+02 
       4.944888697485e-03       2.034526610590e+02 
       5.068327629473e-03       2.069621343044e+02 
       5.192004302815e-03       2.104145148570e+02 
       5.315903780521e-03       2.138099086846e+02 
       5.440012353135e-03       2.171484710474e+02 
       5.564317422097e-03       2.204303186767e+02 
       5.688807395528e-03       2.236558189692e+02 
       5.813471595002e-03       2.268251108720e+02 
       5.938300172079e-03       2.299385801240e+02 
       6.063284033468e-03       2.329964481164e+02 
       6.188414773868e-03       2.359992084178e+02 
       6.313684615622e-03       2.389471912281e+02 
       6.439086354422e-03       2.418405547387e+02 
       6.564613310402e-03       2.446802947203e+02 
       6.690259284037e-03       2.474663633888e+02 
       6.816018516314e-03       2.501993836988e+02 
       6.941885652727e-03       2.528798325017e+02 
       7.067855710688e-03       2.555080900269e+02 
       7.193924049989e-03       2.580847220391e+02 
       7.320086346001e-03       2.606102167103e+02 
       7.446338565337e-03       2.630850467244e+02 
