# Matter power spectrum P(k) at redshift z=1
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.344390493594e-02       9.114402880826e+03 
       1.357249961664e-02       9.130791695682e+03 
       1.370113056926e-02       9.146384034751e+03 
       1.382979790191e-02       9.161198540178e+03 
       1.395850174579e-02       9.175219182461e+03 
       1.408724225482e-02       9.188484619951e+03 
       1.421601960529e-02       9.200980521386e+03 
       1.434483399555e-02       9.212731864658e+03 
       1.447368564577e-02       9.223743950923e+03 
       1.460257479766e-02       9.234025836331e+03 
       1.473150171425e-02       9.243588094855e+03 
       1.486046667976e-02       9.252427005104e+03 
       1.498946999939e-02       9.260566487065e+03 
       1.511851199921e-02       9.268022481538e+03 
       1.524759302605e-02       9.274788415742e+03 
       1.537671344742e-02       9.280876638374e+03 
       1.550587365145e-02       9.286264221863e+03 
       1.563507404687e-02       9.291057491209e+03 
       1.576431506296e-02       9.295172121975e+03 
       1.589359714960e-02       9.298647451118e+03 
       1.602292077726e-02       9.301478704831e+03 
       1.615228643707e-02       9.303689926440e+03 
       1.628169464087e-02       9.305296083288e+03 
       1.641114592134e-02       9.306279388239e+03 
       1.654064083202e-02       9.306667938099e+03 
       1.667017994753e-02       9.306469523362e+03 
       1.679976386365e-02       9.305689332601e+03 
       1.692939319749e-02       9.304331386793e+03 
       1.705906858766e-02       9.302410416935e+03 
       1.718879069449e-02       9.299925130891e+03 
       1.731856020023e-02       9.296882592986e+03 
       1.744837780925e-02       9.293307878747e+03 
       1.757824424830e-02       9.289197346684e+03 
       1.770816026681e-02       9.284546152325e+03 
       1.783812663709e-02       9.279389273930e+03 
       1.796814415469e-02       9.273719554693e+03 
       1.809821363867e-02       9.267533456815e+03 
       1.822833593196e-02       9.260857615816e+03 
       1.835851190168e-02       9.253671509690e+03 
       1.848874243949e-02       9.246046455776e+03 
       1.861902846201e-02       9.237896712515e+03 
       1.874937091116e-02       9.229295217250e+03 
       1.887977075462e-02       9.220266088372e+03 
       1.901022898623e-02       9.210764726276e+03 
       1.914074662644e-02       9.200806231487e+03 
       1.927132472278e-02       9.190106767325e+03 
       1.940196435033e-02       9.179596599550e+03 
       1.953266661225e-02       9.168044383820e+03 
       1.966343264025e-02       9.156683665692e+03 
       1.979426359518e-02       9.144548569168e+03 
       1.992516066755e-02       9.132079485946e+03 
       2.005612507811e-02       9.119187061459e+03 
       2.018715807846e-02       9.105899173883e+03 
       2.031826095166e-02       9.092284335515e+03 
       2.044943501287e-02       9.078236921137e+03 
       2.058068161000e-02       9.063834413279e+03 
       2.071200212439e-02       9.049013614312e+03 
       2.084339797153e-02       9.033888616810e+03 
       2.097487060177e-02       9.018435320222e+03 
       2.110642150107e-02       9.002605465690e+03 
       2.123805219176e-02       8.986384182694e+03 
       2.136976423339e-02       8.969875573562e+03 
       2.150155922348e-02       8.953035682875e+03 
       2.163343879841e-02       8.935880962337e+03 
       2.176540463431e-02       8.918412386809e+03 
       2.189745844791e-02       8.900604319073e+03 
       2.202960199754e-02       8.882545142128e+03 
       2.216183708401e-02       8.864199714407e+03 
       2.229416555169e-02       8.845455689067e+03 
       2.242658928947e-02       8.826494798492e+03 
       2.255911023181e-02       8.807237099142e+03 
       2.269173035987e-02       8.787720765394e+03 
       2.282445170260e-02       8.767942665400e+03 
       2.295727633791e-02       8.747906235736e+03 
       2.309020639385e-02       8.727612235333e+03 
       2.322324404983e-02       8.707064026177e+03 
       2.335639153793e-02       8.686243370409e+03 
       2.348965114416e-02       8.665109786683e+03 
       2.362302520984e-02       8.643820480009e+03 
       2.375651613298e-02       8.622358958936e+03 
       2.389012636972e-02       8.600574595328e+03 
       2.402385843581e-02       8.578589151844e+03 
       2.415771490814e-02       8.556436335288e+03 
       2.429169842634e-02       8.533931092701e+03 
       2.442581169436e-02       8.511447125492e+03 
       2.456005748223e-02       8.488636371115e+03 
       2.469443862771e-02       8.465375490112e+03 
       2.482895803816e-02       8.442312722148e+03 
       2.496361869236e-02       8.418706127470e+03 
       2.509842364241e-02       8.395417825285e+03 
       2.523337601576e-02       8.371681897582e+03 
       2.536847901720e-02       8.347849514274e+03 
       2.550373593101e-02       8.323440598521e+03 
