# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.397073139090e-10       4.132718751939e-15       3.531682471660e-13       2.336731490493e-19       8.371787977290e-09       4.580789477168e-10      -1.841785083391e-12 
    3       1.320469027295e-10       5.289144584995e-15       3.959644646358e-13       4.674421918799e-19       5.116016054447e-09       3.238196728487e-10      -1.394205087705e-12 
    4       1.248642774720e-10       4.572286684087e-15       3.700058385271e-13       7.792814746858e-19       3.542680175318e-09       2.447429808634e-10      -9.120210946111e-13 
    5       1.194935335934e-10       3.049964812617e-15       3.150253554820e-13       1.169313506776e-18       2.635978942970e-09       1.930820562289e-10      -5.065664238290e-13 
    6       1.158020063002e-10       1.706688635691e-15       2.537762300262e-13       1.637686953545e-18       2.053577902998e-09       1.569331799981e-10      -2.080906125300e-13 
    7       1.133785388372e-10       9.245118646365e-16       1.994278462593e-13       2.184573858585e-18       1.652815329030e-09       1.303976969389e-10      -1.788414612666e-14 
    8       1.119506331378e-10       5.988131206124e-16       1.576937204678e-13       2.810166503645e-18       1.363078870222e-09       1.102954032842e-10       7.906776902294e-14 
    9       1.112777416831e-10       4.822284265697e-16       1.297866520914e-13       3.514674000259e-18       1.145786182586e-09       9.474197425574e-11       1.061075264862e-13 
   10       1.111016660495e-10       4.121956380805e-16       1.143742700051e-13       4.298318713400e-18       9.780374626787e-10       8.244642637209e-11       8.906688338798e-14 
   11       1.113854217482e-10       3.478345280471e-16       1.087971693339e-13       5.161332620541e-18       8.376100767549e-10       7.325123744246e-11       5.202378629402e-14 
   12       1.119610733203e-10       3.046429759579e-16       1.100100490530e-13       6.103953708837e-18       7.319496528177e-10       6.472328655648e-11       1.240664363799e-14 
   13       1.127719662677e-10       2.935860153819e-16       1.153761178202e-13       7.126422508975e-18       6.452014505332e-10       5.780790470071e-11      -1.778916529496e-14 
   14       1.138069966396e-10       3.068911240099e-16       1.228682369619e-13       8.228978856640e-18       5.730216344293e-10       5.184719473642e-11      -3.429109745194e-14 
   15       1.150188626718e-10       3.330195716574e-16       1.311510252974e-13       9.411858961916e-18       5.122645070329e-10       4.680172541237e-11      -3.737736691446e-14 
   16       1.163303934477e-10       3.695294330581e-16       1.395950447283e-13       1.067529285364e-17       4.606025970652e-10       4.243991008168e-11      -3.089745953010e-14 
   17       1.177769503440e-10       4.217036538790e-16       1.480931101787e-13       1.201950225034e-17       4.162814760659e-10       3.862664107050e-11      -2.000864923564e-14 
   18       1.193028456943e-10       4.947316894785e-16       1.567330034931e-13       1.344469870606e-17       3.778146123205e-10       3.531993699454e-11      -9.587231233616e-15 
   19       1.209214192431e-10       5.890411879771e-16       1.657176223869e-13       1.495108335253e-17       3.445795212491e-10       3.246505181042e-11      -2.238115356691e-15 
   20       1.226232103736e-10       7.028424926569e-16       1.752517073348e-13       1.653884411983e-17       3.153085980888e-10       2.992377744542e-11       3.180726991207e-16 
   21       1.244010898987e-10       8.354760527590e-16       1.853116395173e-13       1.820815836255e-17       2.895426087602e-10       2.764703978384e-11      -1.359964221593e-15 
   22       1.262198465013e-10       9.863742464513e-16       1.957163026136e-13       1.995918980668e-17       2.666615095916e-10       2.558389082661e-11      -5.532382379400e-15 
   23       1.280935172815e-10       1.155806254137e-15       2.061147186641e-13       2.179209260183e-17       2.463512051406e-10       2.373820219306e-11      -1.045523252971e-14 
   24       1.300283014613e-10       1.344113398478e-15       2.160614450393e-13       2.370700821567e-17       2.281439518522e-10       2.210409288323e-11      -1.427042339443e-14 
   25       1.320160831833e-10       1.551368674779e-15       2.252764090993e-13       2.570407114938e-17       2.118257465258e-10       2.064246300445e-11      -1.615864657516e-14 
   26       1.340312478895e-10       1.777786408691e-15       2.335345479351e-13       2.778340519760e-17       1.971010096950e-10       1.929374452985e-11      -1.580302373292e-14 
   27       1.360803217044e-10       2.025327261761e-15       2.407319609339e-13       2.994512890328e-17       1.837936631175e-10       1.805753576576e-11      -1.383733557463e-14 
   28       1.381694653617e-10       2.296495476697e-15       2.468304889540e-13       3.218935299814e-17       1.716750676938e-10       1.694174522870e-11      -1.127877475136e-14 
   29       1.403058846389e-10       2.592813020587e-15       2.518867048356e-13       3.451618914051e-17       1.606834392880e-10       1.594086804653e-11      -8.764141887355e-15 
   30       1.424839787235e-10       2.915504676163e-15       2.560225138373e-13       3.692574268219e-17       1.507006119872e-10       1.503341809053e-11      -6.921963080474e-15 
   31       1.446876443673e-10       3.265708743409e-15       2.593638805084e-13       3.941811261002e-17       1.415228557463e-10       1.418968898642e-11      -6.331065615992e-15 
   32       1.469212880602e-10       3.644221474983e-15       2.618635744804e-13       4.199340232800e-17       1.331029560563e-10       1.340483100331e-11      -6.818999840726e-15 
   33       1.491877997862e-10       4.051639247622e-15       2.634112410624e-13       4.465171276075e-17       1.253816852792e-10       1.267658673863e-11      -7.888165554334e-15 
   34       1.514825654525e-10       4.488541506529e-15       2.638808788050e-13       4.739314098489e-17       1.182513203020e-10       1.199886039828e-11      -8.981591185282e-15 
   35       1.538051495048e-10       4.955939082274e-15       2.631426109711e-13       5.021778519954e-17       1.116754246571e-10       1.137149737844e-11      -9.819364141086e-15 
   36       1.561498871954e-10       5.454978529116e-15       2.610526268308e-13       5.312574164815e-17       1.056012169128e-10       1.079310736719e-11      -1.017144266466e-14 
   37       1.585073300714e-10       5.986740907969e-15       2.574795625870e-13       5.611710267474e-17       9.994963074069e-11       1.025943519968e-11      -9.851418907306e-15 
   38       1.608831187980e-10       6.551953791471e-15       2.524102321049e-13       5.919195411544e-17       9.470611547598e-11       9.768012516106e-12      -9.007952761784e-15 
   39       1.632842103866e-10       7.151177521679e-15       2.458794756245e-13       6.235037718549e-17       8.985411514330e-11       9.314478712424e-12      -7.933265101480e-15 
   40       1.657131782668e-10       7.784874191056e-15       2.379435018808e-13       6.559244925453e-17       8.534745111737e-11       8.890961970009e-12      -6.991056147546e-15 
   41       1.681695145514e-10       8.453484729144e-15       2.286573603503e-13       6.891824072077e-17       8.112642403803e-11       8.488628724639e-12      -6.521273643104e-15 
   42       1.706552646328e-10       9.157705569450e-15       2.179954541718e-13       7.232780426867e-17       7.717863665149e-11       8.107031234745e-12      -6.506039516095e-15 
   43       1.731703740704e-10       9.898291386051e-15       2.059073107082e-13       7.582118221303e-17       7.349362074969e-11       7.747312141312e-12      -6.802738090222e-15 
   44       1.757106626638e-10       1.067597885844e-14       1.923388111767e-13       7.939840922437e-17       7.004458350509e-11       7.409531490307e-12      -7.232267461027e-15 
   45       1.782703951103e-10       1.149143986392e-14       1.772352295115e-13       8.305950848290e-17       6.679798258593e-11       7.092941194421e-12      -7.618574963686e-15 
   46       1.808518113660e-10       1.234512580775e-14       1.605522737941e-13       8.680447915345e-17       6.374872773332e-11       6.797133170849e-12      -7.926671619339e-15 
   47       1.834577944259e-10       1.323737571427e-14       1.422477383629e-13       9.063330488898e-17       6.089329230141e-11       6.521070660194e-12      -8.162043084226e-15 
   48       1.860889571446e-10       1.416845519628e-14       1.222782371264e-13       9.454595682340e-17       5.821909623442e-11       6.262674283073e-12      -8.332589499056e-15 
   49       1.887434295823e-10       1.513855318346e-14       1.005990420560e-13       9.854239319653e-17       5.570383269943e-11       6.018747103104e-12      -8.448777444067e-15 
   50       1.914185078720e-10       1.614780923105e-14       7.716913620493e-14       1.026225591852e-16       5.332219068239e-11       5.785891372415e-12      -8.524517898560e-15 
   51       1.941166218149e-10       1.719641177530e-14       5.196836442667e-14       1.067863872123e-16       5.106973621884e-11       5.563725980633e-12      -8.579728530794e-15 
   52       1.968406195358e-10       1.828452089311e-14       2.498465885019e-14       1.110337960733e-16       4.894434949684e-11       5.352412812825e-12      -8.638729576359e-15 
   53       1.995919254512e-10       1.941223826355e-14      -3.790686871145e-15       1.153646903810e-16       4.693907784666e-11       5.151713798603e-12      -8.729760325792e-15 
   54       2.023704152165e-10       2.057960533531e-14      -3.436293367727e-14       1.197789602007e-16       4.504181041890e-11       4.960962642519e-12      -8.885165244557e-15 
   55       2.051752762653e-10       2.178661343109e-14      -6.673537751902e-14       1.242764895862e-16       4.323897450225e-11       4.779335575733e-12      -9.131278854354e-15 
   56       2.080081262508e-10       2.303324119865e-14      -1.009144134447e-13       1.288571855116e-16       4.152844505199e-11       4.606807138238e-12      -9.454711413125e-15 
   57       2.108704502520e-10       2.431942325352e-14      -1.369055826149e-13       1.335209554876e-16       3.990927233870e-11       4.443382317029e-12      -9.828013877935e-15 
   58       2.137625982882e-10       2.564503771943e-14      -1.747120957869e-13       1.382676992701e-16       3.837777632254e-11       4.288802069901e-12      -1.021903480301e-14 
   59       2.166836986656e-10       2.700990486079e-14      -2.143348103794e-13       1.430973088426e-16       3.692737801864e-11       4.142526706025e-12      -1.059070511278e-14 
   60       2.196315713240e-10       2.841378571524e-14      -2.557722075363e-13       1.480096683975e-16       3.554843086249e-11       4.003719266530e-12      -1.090082287482e-14 
   61       2.226038633444e-10       2.985633499142e-14      -2.990200421262e-13       1.530046702271e-16       3.423090032359e-11       3.871479281650e-12      -1.111173716182e-14 
   62       2.256019493427e-10       3.133695050139e-14      -3.440702528208e-13       1.580822666066e-16       3.297348709715e-11       3.745642953585e-12      -1.122242657335e-14 
   63       2.286277567781e-10       3.285488735126e-14      -3.909117655584e-13       1.632424295775e-16       3.177626178508e-11       3.626133909212e-12      -1.124327192724e-14 
   64       2.316825741202e-10       3.440929793085e-14      -4.395307663694e-13       1.684851365419e-16       3.063792063759e-11       3.512720169270e-12      -1.118688945037e-14 
   65       2.347670029740e-10       3.599922909506e-14      -4.899106680621e-13       1.738103707490e-16       2.955570729135e-11       3.405005473192e-12      -1.106822964232e-14 
   66       2.378809102052e-10       3.762361934528e-14      -5.420320769104e-13       1.792181217814e-16       2.852533450761e-11       3.302420603944e-12      -1.090467613895e-14 
   67       2.410233800650e-10       3.928129601077e-14      -5.958727593407e-13       1.847083860419e-16       2.754090591041e-11       3.204214712859e-12      -1.071614457609e-14 
   68       2.441934034439e-10       4.097108022537e-14      -6.514089518360e-13       1.902811748858e-16       2.659649122194e-11       3.109650184612e-12      -1.052130257644e-14 
   69       2.473922148247e-10       4.269213285862e-14      -7.086196733283e-13       1.959365398474e-16       2.569139755067e-11       3.018652474247e-12      -1.032511930656e-14 
   70       2.506213450287e-10       4.444367393798e-14      -7.674832307805e-13       2.016745534224e-16       2.482583051956e-11       2.931276964796e-12      -1.012895914400e-14 
   71       2.538818974825e-10       4.622488099483e-14      -8.279759543039e-13       2.074953025434e-16       2.399929994594e-11       2.847513670274e-12      -9.934237004588e-15 
   72       2.571745191954e-10       4.803488900275e-14      -8.900721981985e-13       2.133988892615e-16       2.321058386863e-11       2.767283766146e-12      -9.742418001963e-15 
   73       2.604993717367e-10       4.987279031587e-14      -9.537443419931e-13       2.193854314286e-16       2.245769257503e-11       2.690436119794e-12      -9.555017107250e-15 
   74       2.638561022132e-10       5.173763460709e-14      -1.018962791486e-12       2.254550633788e-16       2.173783262814e-11       2.616743820986e-12      -9.373598808653e-15 
   75       2.672438142468e-10       5.362842880644e-14      -1.085695979785e-12       2.316079366109e-16       2.104737089371e-11       2.545900712336e-12      -9.199776771069e-15 
   76       2.706615843306e-10       5.554408866644e-14      -1.153910099839e-12       2.378442123565e-16       2.038273655126e-11       2.477601123949e-12      -9.035036239596e-15 
   77       2.741101837587e-10       5.748328339795e-14      -1.223568243420e-12       2.441640362129e-16       1.974339654337e-11       2.411803533064e-12      -8.880164613739e-15 
   78       2.775906194297e-10       5.944456245919e-14      -1.294631106294e-12       2.505675601022e-16       1.912935987924e-11       2.348508903957e-12      -8.735715934825e-15 
   79       2.811035987732e-10       6.142640037865e-14      -1.367057238403e-12       2.570549504811e-16       1.854027131783e-11       2.287680014256e-12      -8.602175019411e-15 
   80       2.846495119111e-10       6.342719570153e-14      -1.440803039399e-12       2.636263888568e-16       1.797539462905e-11       2.229239691579e-12      -8.479953484118e-15 
   81       2.882284138180e-10       6.544526993605e-14      -1.515822754184e-12       2.702820723024e-16       1.743359585497e-11       2.173069050170e-12      -8.369385770469e-15 
   82       2.918400064828e-10       6.747886649985e-14      -1.592068468437e-12       2.770222139725e-16       1.691332657098e-11       2.119005727533e-12      -8.270725169718e-15 
   83       2.954836210689e-10       6.952614966636e-14      -1.669490104154e-12       2.838470436189e-16       1.641260714706e-11       2.066842121069e-12      -8.184139847688e-15 
   84       2.991585514070e-10       7.158526906661e-14      -1.748036256043e-12       2.907568050168e-16       1.592950800380e-11       2.016376504949e-12      -8.109510014629e-15 
   85       3.028651570721e-10       7.365456778874e-14      -1.827656869810e-12       2.977517466262e-16       1.546372171439e-11       1.967579979902e-12      -8.045789508002e-15 
   86       3.066039113163e-10       7.573240700559e-14      -1.908301001754e-12       3.048321303206e-16       1.501522204589e-11       1.920454095808e-12      -7.991530593292e-15 
   87       3.103750542377e-10       7.781710353404e-14      -1.989916026906e-12       3.119982347948e-16       1.458378089069e-11       1.874979570504e-12      -7.945066199532e-15 
   88       3.141785808457e-10       7.990692988311e-14      -2.072447648691e-12       3.192503560290e-16       1.416895989750e-11       1.831115415166e-12      -7.904502602040e-15 
   89       3.180142291270e-10       8.200011430213e-14      -2.155839908599e-12       3.265888077520e-16       1.377010210209e-11       1.788798059684e-12      -7.867712105150e-15 
   90       3.218814681109e-10       8.409484082890e-14      -2.240035195847e-12       3.340139219050e-16       1.338632355826e-11       1.747940478044e-12      -7.832325724946e-15 
   91       3.257794859351e-10       8.618924933780e-14      -2.324974257050e-12       3.415260491054e-16       1.301650496863e-11       1.708431313704e-12      -7.795725871996e-15 
   92       3.297071779111e-10       8.828143558794e-14      -2.410596205885e-12       3.491255591101e-16       1.265928331554e-11       1.670134004975e-12      -7.755039034085e-15 
   93       3.336634902576e-10       9.036948022718e-14      -2.496839099633e-12       3.568128498430e-16       1.231337530103e-11       1.632920775621e-12      -7.707783573782e-15 
   94       3.376485363582e-10       9.245154068939e-14      -2.583641746997e-12       3.645883750227e-16       1.197862149046e-11       1.596782354214e-12      -7.653940463594e-15 
   95       3.416626271047e-10       9.452577327187e-14      -2.670942191317e-12       3.724526215664e-16       1.165508446519e-11       1.561733216272e-12      -7.594181909779e-15 
   96       3.457059232307e-10       9.659030585063e-14      -2.758677185137e-12       3.804061019701e-16       1.134272724264e-11       1.527777798661e-12      -7.529245640241e-15 
   97       3.497784282590e-10       9.864323832605e-14      -2.846782207652e-12       3.884493548896e-16       1.104140946181e-11       1.494910103557e-12      -7.459936579927e-15 
   98       3.538799814500e-10       1.006826430684e-13      -2.935191482152e-12       3.965829457218e-16       1.075088356889e-11       1.463113302418e-12      -7.387128526208e-15 
   99       3.580102507492e-10       1.027065653637e-13      -3.023837993478e-12       4.048074671860e-16       1.047079100275e-11       1.432359339950e-12      -7.311765824266e-15 
  100       3.621687257348e-10       1.047130238590e-13      -3.112653505463e-12       4.131235399047e-16       1.020065838056e-11       1.402608538078e-12      -7.234865042488e-15 
  101       3.663547105661e-10       1.067000110082e-13      -3.201568578381e-12       4.215318129853e-16       9.939893683297e-12       1.373809199908e-12      -7.157516647845e-15 
