# Matter power spectrum P(k) at redshift z=5
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042721222072e-05       2.211570986502e+00 
       2.326940071722e-05       4.789347993897e+00 
       3.615650358602e-05       7.320041683816e+00 
       4.912298588895e-05       9.831636930499e+00 
       6.220387954818e-05       1.233994038033e+01 
       7.543509384604e-05       1.485672537456e+01 
       8.885373579883e-05       1.739201271908e+01 
       1.024984446421e-04       1.995500281235e+01 
       1.164097446970e-04       2.255455189757e+01 
       1.306304209218e-04       2.519945915267e+01 
       1.452059214576e-04       2.789866502361e+01 
       1.601847914240e-04       3.066140479103e+01 
       1.756191420481e-04       3.349733900234e+01 
       1.915651588556e-04       3.641667216819e+01 
       2.080836520204e-04       3.943026651640e+01 
       2.252406509312e-04       4.254975388053e+01 
       2.431080434315e-04       4.578764799883e+01 
       2.617642578047e-04       4.915745870926e+01 
       2.812949821548e-04       5.267380509139e+01 
       3.017939110511e-04       5.635252913235e+01 
       3.233635027954e-04       6.021080272301e+01 
       3.461157220481e-04       6.426722717783e+01 
       3.701727314300e-04       6.854191377667e+01 
       3.956674818632e-04       7.305654015606e+01 
       4.227441348055e-04       7.783436539102e+01 
       4.515582306692e-04       8.290019174911e+01 
       4.822764978386e-04       8.828025242535e+01 
       5.150761782152e-04       9.400200374356e+01 
       5.501437320088e-04       1.000937987146e+02 
       5.876727821383e-04       1.065844201710e+02 
       6.278611742111e-04       1.135024578128e+02 
       6.709070693508e-04       1.208755158313e+02 
       7.170040606051e-04       1.287292654044e+02 
       7.663354115254e-04       1.370863650608e+02 
       8.190676520760e-04       1.459653053582e+02 
       8.753439156747e-04       1.553792600619e+02 
       9.352775337530e-04       1.653350415249e+02 
       9.989464852370e-04       1.758322778582e+02 
       1.066389294278e-03       1.868629130406e+02 
       1.137602861595e-03       1.984111089510e+02 
       1.212542509737e-03       2.104535824997e+02 
       1.291124255813e-03       2.229603534473e+02 
       1.373229052481e-03       2.358952220756e+02 
       1.458708517675e-03       2.492176558151e+02 
       1.547391547860e-03       2.628859903847e+02 
       1.639091192574e-03       2.768559461830e+02 
       1.733611244858e-03       2.910830091881e+02 
       1.830752139510e-03       3.055234842401e+02 
       1.930315910054e-03       3.201353345735e+02 
       2.032110103673e-03       3.348787810565e+02 
       2.135950671017e-03       3.497166697849e+02 
       2.241663927392e-03       3.646147233806e+02 
       2.349087725404e-03       3.795415845202e+02 
       2.458071993982e-03       3.944688142954e+02 
       2.568478793794e-03       4.093707848004e+02 
       2.680182022510e-03       4.242245527246e+02 
       2.793066881599e-03       4.390097083835e+02 
       2.907029193666e-03       4.537081550388e+02 
       3.021974638312e-03       4.683039974496e+02 
       3.137817956453e-03       4.827832674698e+02 
       3.254482158223e-03       4.971338433882e+02 
       3.371897758070e-03       5.113451621601e+02 
       3.490002051858e-03       5.254081420494e+02 
       3.608738444355e-03       5.393149228428e+02 
       3.728055830933e-03       5.530588836569e+02 
       3.847908034132e-03       5.666342393217e+02 
       3.968253293661e-03       5.800362517727e+02 
       4.089053807114e-03       5.932607952706e+02 
       4.210275317943e-03       6.063046010310e+02 
       4.331886746844e-03       6.191648150000e+02 
       4.453859862672e-03       6.318394074065e+02 
       4.576168989034e-03       6.443265064390e+02 
       4.698790742927e-03       6.566248271305e+02 
       4.821703802024e-03       6.687335915912e+02 
       4.944888697485e-03       6.806520827545e+02 
       5.068327629473e-03       6.923802198027e+02 
       5.192004302815e-03       7.039177841912e+02 
       5.315903780521e-03       7.152650849989e+02 
       5.440012353135e-03       7.264226104346e+02 
       5.564317422097e-03       7.373907216002e+02 
       5.688807395528e-03       7.481706238367e+02 
       5.813471595002e-03       7.587627661177e+02 
       5.938300172079e-03       7.691684301803e+02 
       6.063284033468e-03       7.793883525249e+02 
       6.188414773868e-03       7.894241870050e+02 
       6.313684615622e-03       7.992770419828e+02 
       6.439086354422e-03       8.089474540425e+02 
       6.564613310402e-03       8.184387587424e+02 
       6.690259284037e-03       8.277507976908e+02 
       6.816018516314e-03       8.368856518296e+02 
       6.941885652727e-03       8.458449062880e+02 
       7.067855710688e-03       8.546298194447e+02 
       7.193924049989e-03       8.632422752998e+02 
       7.320086346001e-03       8.716838623977e+02 
       7.446338565337e-03       8.799561485623e+02 
       7.572676943701e-03       8.880607305881e+02 
       7.699097965737e-03       8.959996507968e+02 
       7.825598346650e-03       9.037743177432e+02 
       7.952175015441e-03       9.113859856500e+02 
       8.078825099585e-03       9.188368154860e+02 
       8.205545911030e-03       9.261286655513e+02 
       8.332334933367e-03       9.332625145367e+02 
       8.459189810085e-03       9.402406041245e+02 
       8.586108333796e-03       9.470644738032e+02 
       8.713088436332e-03       9.537360615200e+02 
       8.840128179660e-03       9.602566305936e+02 
       8.967225747515e-03       9.666275625027e+02 
       9.094379437699e-03       9.728509990303e+02 
       9.221587654991e-03       9.789285981576e+02 
       9.348848904599e-03       9.848618525313e+02 
       9.476161786128e-03       9.906521975989e+02 
       9.603524988001e-03       9.963011982785e+02 
       9.730937282305e-03       1.001810844896e+03 
       9.858397520027e-03       1.007182164431e+03 
       9.985904626638e-03       1.012417122931e+03 
       1.011345759801e-02       1.017516984046e+03 
       1.024105549664e-02       1.022483597036e+03 
       1.036869744811e-02       1.027318123616e+03 
       1.049638263787e-02       1.032022135791e+03 
       1.062411030818e-02       1.036598056278e+03 
       1.075187975533e-02       1.041050812566e+03 
       1.087969032701e-02       1.045374737366e+03 
       1.100754141991e-02       1.049570985957e+03 
       1.113543247746e-02       1.053645274792e+03 
       1.126336298773e-02       1.057597661048e+03 
       1.139133248147e-02       1.061429633922e+03 
       1.151934053033e-02       1.065143353460e+03 
       1.164738674517e-02       1.068739229627e+03 
       1.177547077447e-02       1.072219091114e+03 
       1.190359230287e-02       1.075584650414e+03 
       1.203175104985e-02       1.078836388998e+03 
       1.215994676843e-02       1.081976022359e+03 
       1.228817924404e-02       1.085005383909e+03 
       1.241644829337e-02       1.087927366663e+03 
       1.254475376341e-02       1.090756321984e+03 
       1.267309553050e-02       1.093440321401e+03 
       1.280147349943e-02       1.096039289857e+03 
       1.292988760268e-02       1.098533981542e+03 
       1.305833779961e-02       1.100926294298e+03 
       1.318682407584e-02       1.103216743568e+03 
       1.331534644255e-02       1.105406159598e+03 
       1.344390493594e-02       1.107496953868e+03 
       1.357249961664e-02       1.109489707408e+03 
       1.370113056926e-02       1.111385367639e+03 
       1.382979790191e-02       1.113185648962e+03 
       1.395850174579e-02       1.114891344871e+03 
       1.408724225482e-02       1.116503333854e+03 
       1.421601960529e-02       1.118023308775e+03 
       1.434483399555e-02       1.119451724723e+03 
       1.447368564577e-02       1.120789827756e+03 
       1.460257479766e-02       1.122039605688e+03 
       1.473150171425e-02       1.123201193230e+03 
       1.486046667976e-02       1.124276675969e+03 
       1.498946999939e-02       1.125266296536e+03 
       1.511851199921e-02       1.126171789582e+03 
       1.524759302605e-02       1.126994170484e+03 
       1.537671344742e-02       1.127734248216e+03 
       1.550587365145e-02       1.128393067358e+03 
       1.563507404687e-02       1.128972042867e+03 
       1.576431506296e-02       1.129471836888e+03 
       1.589359714960e-02       1.129894014442e+03 
       1.602292077726e-02       1.130239235061e+03 
       1.615228643707e-02       1.130508296643e+03 
       1.628169464087e-02       1.130702440958e+03 
       1.641114592134e-02       1.130822932465e+03 
       1.654064083202e-02       1.130870827144e+03 
       1.667017994753e-02       1.130846902606e+03 
       1.679976386365e-02       1.130751671939e+03 
       1.692939319749e-02       1.130586398299e+03 
       1.705906858766e-02       1.130353207613e+03 
       1.718879069449e-02       1.130051091390e+03 
       1.731856020023e-02       1.129682339363e+03 
       1.744837780925e-02       1.129247858702e+03 
       1.757824424830e-02       1.128748534100e+03 
       1.770816026681e-02       1.128184320872e+03 
       1.783812663709e-02       1.127556951376e+03 
       1.796814415469e-02       1.126868258877e+03 
       1.809821363867e-02       1.126117369565e+03 
       1.822833593196e-02       1.125306046703e+03 
       1.835851190168e-02       1.124435991607e+03 
       1.848874243949e-02       1.123505721881e+03 
       1.861902846201e-02       1.122519361458e+03 
       1.874937091116e-02       1.121475039908e+03 
       1.887977075462e-02       1.120374954422e+03 
       1.901022898623e-02       1.119220138865e+03 
       1.914074662644e-02       1.118010244099e+03 
       1.927132472278e-02       1.116747915214e+03 
       1.940196435033e-02       1.115433179655e+03 
       1.953266661225e-02       1.114065492079e+03 
       1.966343264025e-02       1.112648221312e+03 
       1.979426359518e-02       1.111180673132e+03 
       1.992516066755e-02       1.109663619758e+03 
       2.005612507811e-02       1.108096926526e+03 
       2.018715807846e-02       1.106484847168e+03 
       2.031826095166e-02       1.104824323490e+03 
       2.044943501287e-02       1.103117926156e+03 
       2.058068161000e-02       1.101367460614e+03 
       2.071200212439e-02       1.099571657759e+03 
       2.084339797153e-02       1.097732912952e+03 
       2.097487060177e-02       1.095850984520e+03 
       2.110642150107e-02       1.093927557078e+03 
       2.123805219176e-02       1.091961139755e+03 
       2.136976423339e-02       1.089954799949e+03 
       2.150155922348e-02       1.087909061794e+03 
       2.163343879841e-02       1.085824345496e+03 
       2.176540463431e-02       1.083701733240e+03 
       2.189745844791e-02       1.081540872476e+03 
       2.202960199754e-02       1.079343524033e+03 
       2.216183708401e-02       1.077109678949e+03 
       2.229416555169e-02       1.074838376849e+03 
       2.242658928947e-02       1.072534147727e+03 
       2.255911023181e-02       1.070194695514e+03 
       2.269173035987e-02       1.067822654820e+03 
       2.282445170260e-02       1.065419250185e+03 
       2.295727633791e-02       1.062983034449e+03 
       2.309020639385e-02       1.060513769094e+03 
       2.322324404983e-02       1.058016917908e+03 
       2.335639153793e-02       1.055487092215e+03 
       2.348965114416e-02       1.052926819225e+03 
       2.362302520984e-02       1.050339866272e+03 
       2.375651613298e-02       1.047724453652e+03 
       2.389012636972e-02       1.045083814164e+03 
       2.402385843581e-02       1.042412208665e+03 
       2.415771490814e-02       1.039715744125e+03 
       2.429169842634e-02       1.036995040763e+03 
       2.442581169436e-02       1.034247664759e+03 
       2.456005748223e-02       1.031475656631e+03 
       2.469443862771e-02       1.028680262881e+03 
       2.482895803816e-02       1.025863065604e+03 
       2.496361869236e-02       1.023022227943e+03 
       2.509842364241e-02       1.020158053429e+03 
       2.523337601576e-02       1.017272936470e+03 
       2.536847901720e-02       1.014368028249e+03 
       2.550373593101e-02       1.011441196858e+03 
       2.563915012315e-02       1.008494209787e+03 
       2.577472504346e-02       1.005528841270e+03 
       2.591046422810e-02       1.002544782213e+03 
       2.604637130186e-02       9.995419073923e+02 
       2.618244998073e-02       9.965209355296e+02 
       2.631870407448e-02       9.934836081276e+02 
       2.645513748930e-02       9.904262684406e+02 
       2.659175423063e-02       9.873561568064e+02 
       2.672855840597e-02       9.842697221066e+02 
       2.686555422789e-02       9.811663635029e+02 
       2.700274601712e-02       9.780476139438e+02 
       2.714013820571e-02       9.749185768465e+02 
       2.727773534036e-02       9.717733140842e+02 
       2.741554208583e-02       9.686156785578e+02 
       2.755356322851e-02       9.654417448279e+02 
       2.769180368012e-02       9.622558497941e+02 
       2.783026848150e-02       9.590604104825e+02 
       2.796896280660e-02       9.558514523051e+02 
       2.810789196661e-02       9.526330276289e+02 
       2.824706141422e-02       9.494014050520e+02 
       2.838647674807e-02       9.461626549819e+02 
       2.852614371737e-02       9.429109807149e+02 
       2.866606822669e-02       9.396518601235e+02 
       2.880625634095e-02       9.363811860963e+02 
       2.894671429061e-02       9.331036962949e+02 
       2.908744847702e-02       9.298150908499e+02 
       2.922846547810e-02       9.265206460130e+02 
       2.936977205412e-02       9.232172356473e+02 
       2.951137515380e-02       9.199100888296e+02 
       2.965328192063e-02       9.165918459438e+02 
       2.979549969948e-02       9.132658218881e+02 
       2.993803604344e-02       9.099371128093e+02 
       3.008089872102e-02       9.066011376852e+02 
       3.022409572357e-02       9.032585788965e+02 
       3.036763527312e-02       8.999120804780e+02 
       3.051152583049e-02       8.965593872267e+02 
       3.065577610375e-02       8.932031710458e+02 
       3.080039505712e-02       8.898420943921e+02 
       3.094539192023e-02       8.864760453996e+02 
       3.109077619775e-02       8.831051528900e+02 
       3.123655767956e-02       8.797305485445e+02 
       3.138274645131e-02       8.763549459818e+02 
       3.152935290550e-02       8.729775356733e+02 
       3.167638775304e-02       8.695942994827e+02 
       3.182386203543e-02       8.662086328505e+02 
       3.197178713746e-02       8.628255045488e+02 
       3.212017480052e-02       8.594339425958e+02 
       3.226903713662e-02       8.560434557599e+02 
       3.241838664302e-02       8.526516573145e+02 
       3.256823621760e-02       8.492552803414e+02 
       3.271859917508e-02       8.458606836775e+02 
       3.286948926396e-02       8.424654422287e+02 
       3.302092068436e-02       8.390683424060e+02 
       3.317290810680e-02       8.356715660888e+02 
       3.332546669192e-02       8.322729876124e+02 
       3.347861211130e-02       8.288727703554e+02 
       3.363236056932e-02       8.254717037731e+02 
       3.378672882624e-02       8.220746901998e+02 
       3.394173422251e-02       8.186759005505e+02 
       3.409739470444e-02       8.152792751745e+02 
       3.425372885125e-02       8.118819673218e+02 
       3.441075590374e-02       8.084841059788e+02 
       3.456849579444e-02       8.050887169596e+02 
       3.472696917963e-02       8.016938222187e+02 
       3.488619747313e-02       7.982999846542e+02 
       3.504620288212e-02       7.949035825204e+02 
       3.520700844510e-02       7.915121520435e+02 
       3.536863807205e-02       7.881217092189e+02 
       3.553111658714e-02       7.847334322994e+02 
       3.569446977401e-02       7.813444810303e+02 
       3.585872442391e-02       7.779537433509e+02 
       3.602390838679e-02       7.745697246168e+02 
       3.619005062579e-02       7.711853059244e+02 
       3.635718127512e-02       7.678013671310e+02 
       3.652533170183e-02       7.644218720622e+02 
       3.669453457162e-02       7.610410199706e+02 
       3.686482391913e-02       7.576611733721e+02 
       3.703623522290e-02       7.542832922808e+02 
       3.720880548566e-02       7.509106635914e+02 
       3.738257332010e-02       7.475365165941e+02 
       3.755757904081e-02       7.441632569375e+02 
       3.773386476277e-02       7.407922829951e+02 
       3.791147450703e-02       7.374224639182e+02 
       3.809045431419e-02       7.340567619388e+02 
       3.827085236646e-02       7.306861241978e+02 
       3.845271911888e-02       7.273212207345e+02 
       3.863610744073e-02       7.239527773246e+02 
       3.882107276806e-02       7.205875648608e+02 
       3.900767326825e-02       7.172243076996e+02 
       3.919597001792e-02       7.138603720161e+02 
       3.938602719540e-02       7.104976539543e+02 
       3.957791228927e-02       7.071341511499e+02 
       3.977169632444e-02       7.037703410070e+02 
       3.996745410783e-02       7.004053348737e+02 
       4.016526449536e-02       6.970422807714e+02 
       4.036521068280e-02       6.936777844869e+02 
       4.056738052282e-02       6.903109058828e+02 
       4.077186687124e-02       6.869421095556e+02 
       4.097876796565e-02       6.835750182151e+02 
       4.118818784013e-02       6.802046337582e+02 
       4.140023678011e-02       6.768313834775e+02 
       4.161503182222e-02       6.734563018493e+02 
       4.183269730436e-02       6.700766806540e+02 
