# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384590474471e-10       5.124450905516e-15       3.962532674121e-13       2.131781986624e-19       8.403200796564e-09       4.503845762132e-10      -2.055684500960e-12 
    3       1.309112058717e-10       6.568247096957e-15       4.428834895269e-13       4.264480304920e-19       5.156065693647e-09       3.192115937696e-10      -1.559311492085e-12 
    4       1.237409522823e-10       5.691031771398e-15       4.129910870097e-13       7.109486562742e-19       3.569735747344e-09       2.415232807290e-10      -1.024067117860e-12 
    5       1.183676178207e-10       3.799735347840e-15       3.503761176464e-13       1.066797590475e-18       2.655341626628e-09       1.906185803906e-10      -5.732262712972e-13 
    6       1.146631677270e-10       2.116571812520e-15       2.803356538938e-13       1.494137808462e-18       2.068241323260e-09       1.549519777735e-10      -2.403026680045e-13 
    7       1.122820329397e-10       1.126869739522e-15       2.177184268395e-13       1.993135286681e-18       1.664263117458e-09       1.287908159475e-10      -2.702779511217e-14 
    8       1.108589642426e-10       7.106571120617e-16       1.692359419174e-13       2.563976196763e-18       1.372446809930e-09       1.089887622198e-10       8.290205647934e-14 
    9       1.101951553203e-10       5.629495472226e-16       1.364773902076e-13       3.206863825607e-18       1.153656828979e-09       9.363231098340e-11       1.150256921043e-13 
   10       1.100961838934e-10       4.778924079567e-16       1.179065419059e-13       3.922015299609e-18       9.846726730053e-10       8.144729860636e-11       9.770696309236e-14 
   11       1.103750907167e-10       3.996283691785e-16       1.104960618391e-13       4.709658194910e-18       8.426036771810e-10       7.225813431538e-11       5.736986697074e-14 
   12       1.109655598191e-10       3.445443952423e-16       1.108145703916e-13       5.570027116827e-18       7.362524794386e-10       6.404588556653e-11       1.391379760030e-14 
   13       1.118313021796e-10       3.256521156048e-16       1.157633135584e-13       6.503360330400e-18       6.489402879289e-10       5.704109999434e-11      -2.002515750683e-14 
   14       1.129045548344e-10       3.332537208332e-16       1.229692975996e-13       7.509896520388e-18       5.762936391460e-10       5.125829623207e-11      -3.857349077616e-14 
   15       1.141145006344e-10       3.526846186452e-16       1.308533998788e-13       8.589871753099e-18       5.151454933638e-10       4.635279931720e-11      -4.221667138230e-14 
   16       1.154682627020e-10       3.806344968181e-16       1.387537688933e-13       9.743516704506e-18       4.631527017013e-10       4.195598352797e-11      -3.538749455584e-14 
   17       1.169505562445e-10       4.238378055087e-16       1.465897051854e-13       1.097105420929e-17       4.185490516252e-10       3.816065577443e-11      -2.340851711672e-14 
   18       1.185173280767e-10       4.894876610116e-16       1.545168715961e-13       1.227269704293e-17       3.798378212557e-10       3.487036546553e-11      -1.166421541821e-14 
   19       1.201847116362e-10       5.783496933566e-16       1.628411733772e-13       1.364864688722e-17       3.463931919542e-10       3.200818860112e-11      -3.152626924233e-15 
   20       1.219328318853e-10       6.881940873395e-16       1.718766362043e-13       1.509909159596e-17       3.169389968388e-10       2.946081252669e-11       8.490029099295e-17 
   21       1.237543976299e-10       8.177366287681e-16       1.816045606994e-13       1.662420636724e-17       2.910112144348e-10       2.720448548909e-11      -1.424468838504e-15 
   22       1.256178859014e-10       9.656131119949e-16       1.918076756319e-13       1.822415090889e-17       2.679850171004e-10       2.520731768163e-11      -5.821145906781e-15 
   23       1.275378507883e-10       1.131682935744e-15       2.021300508948e-13       1.989907241277e-17       2.475517028278e-10       2.344203327343e-11      -1.114049049414e-14 
   24       1.295202357473e-10       1.315968917156e-15       2.121074304919e-13       2.164910221796e-17       2.292443028252e-10       2.185738431677e-11      -1.527167643362e-14 
   25       1.315566508562e-10       1.518329929426e-15       2.213476856425e-13       2.347435942848e-17       2.128141897454e-10       2.041615745273e-11      -1.738249998288e-14 
   26       1.336218191243e-10       1.738781426012e-15       2.294960061361e-13       2.537494868463e-17       1.979395590269e-10       1.907632087542e-11      -1.718681565044e-14 
   27       1.357246365361e-10       1.979074481801e-15       2.364739074109e-13       2.735096854774e-17       1.845430878716e-10       1.784338970887e-11      -1.515102477510e-14 
   28       1.378696452970e-10       2.241813994753e-15       2.423199789381e-13       2.940250382647e-17       1.724622262090e-10       1.672829949763e-11      -1.219504163241e-14 
   29       1.400474445800e-10       2.529678638595e-15       2.471156413097e-13       3.152962594094e-17       1.614033890862e-10       1.572943742289e-11      -9.383339440162e-15 
   30       1.422619854038e-10       2.843931744306e-15       2.509558412703e-13       3.373240695541e-17       1.513054586661e-10       1.483415730719e-11      -7.244149580201e-15 
   31       1.445104027531e-10       3.185316147006e-15       2.539731760404e-13       3.601091001629e-17       1.420933463188e-10       1.401506144770e-11      -6.197340360568e-15 
   32       1.467815914374e-10       3.554484492795e-15       2.562871464265e-13       3.836518867208e-17       1.336211597119e-10       1.323913462437e-11      -6.551055066753e-15 
   33       1.490824428774e-10       3.952232496074e-15       2.577878437480e-13       4.079529885386e-17       1.258426651338e-10       1.250689175680e-11      -7.868702881423e-15 
   34       1.514190564980e-10       4.379335435255e-15       2.582700356412e-13       4.330129090330e-17       1.186888998482e-10       1.182644411886e-11      -9.350946142331e-15 
   35       1.537913285502e-10       4.836523102053e-15       2.575192165707e-13       4.588320910602e-17       1.120533025371e-10       1.120235278496e-11      -1.019433338694e-14 
   36       1.562015866794e-10       5.324629070320e-15       2.554261258032e-13       4.854110132469e-17       1.059185944284e-10       1.063360674467e-11      -1.031690402597e-14 
   37       1.586473864977e-10       5.844484902390e-15       2.519097208378e-13       5.127501275853e-17       1.002655002003e-10       1.011424767185e-11      -9.878875307470e-15 
   38       1.611181501131e-10       6.396876228089e-15       2.468866154150e-13       5.408498355333e-17       9.503438985499e-11       9.633352672453e-12      -9.095616358978e-15 
   39       1.636005532156e-10       6.982541751575e-15       2.402926282226e-13       5.697104967064e-17       9.014677075857e-11       9.178501827828e-12      -8.204322863500e-15 
   40       1.660989437502e-10       7.602178217837e-15       2.321567064921e-13       5.993324554385e-17       8.558763381594e-11       8.748656774090e-12      -7.340523687141e-15 
   41       1.686204763396e-10       8.256431389842e-15       2.225519078947e-13       6.297160253978e-17       8.134495427359e-11       8.344948376182e-12      -6.626242611891e-15 
   42       1.711691217398e-10       8.945890544422e-15       2.115773059099e-13       6.608614847523e-17       7.738512235764e-11       7.967020917891e-12      -6.204922550458e-15 
   43       1.737463892632e-10       9.671120612368e-15       1.993220638527e-13       6.927690510963e-17       7.366536321963e-11       7.613505038414e-12      -6.197019413997e-15 
   44       1.763546397992e-10       1.043277832782e-14       1.857407541710e-13       7.254387925139e-17       7.017992065010e-11       7.283936743769e-12      -6.547397102093e-15 
   45       1.789941820940e-10       1.123152677783e-14       1.707416653617e-13       7.588706918946e-17       6.692521677699e-11       6.977206225226e-12      -7.132370869174e-15 
   46       1.816619783418e-10       1.206800213948e-14       1.542199733719e-13       7.930646715772e-17       6.388598622594e-11       6.690904996964e-12      -7.799536236561e-15 
   47       1.843513437605e-10       1.294281265056e-14       1.360568587141e-13       8.280205934899e-17       6.103436509528e-11       6.421227877950e-12      -8.366083094472e-15 
   48       1.870550546041e-10       1.385646944073e-14       1.161427369109e-13       8.637382182798e-17       5.833846239702e-11       6.164085454157e-12      -8.668410414180e-15 
   49       1.897764091930e-10       1.480915837064e-14       9.445675337775e-14       9.002170687478e-17       5.579305725211e-11       5.919040994894e-12      -8.731442383880e-15 
   50       1.925207686908e-10       1.580090210848e-14       7.100818027830e-14       9.374565281589e-17       5.339598961537e-11       5.686314898851e-12      -8.644143856273e-15 
   51       1.952922974861e-10       1.683161825922e-14       4.581459851068e-14       9.754558759890e-17       5.113901659928e-11       5.465635740247e-12      -8.513295400415e-15 
   52       1.980938366679e-10       1.790111485869e-14       1.890224509421e-14       1.014214285973e-16       4.900738524821e-11       5.256204009907e-12      -8.464424781792e-15 
   53       2.009271126299e-10       1.900920321422e-14      -9.706860773337e-15       1.053730822893e-16       4.698446063839e-11       5.057028157073e-12      -8.609348667655e-15 
   54       2.037937171009e-10       2.015608086354e-14      -4.003822566149e-14       1.094004436474e-16       4.506799076546e-11       4.868117625338e-12      -8.936854850878e-15 
   55       2.066941586085e-10       2.134203923795e-14      -7.213210484515e-14       1.135033962513e-16       4.325727946316e-11       4.689533403265e-12      -9.395533177501e-15 
   56       2.096274394698e-10       2.256735534055e-14      -1.060314580607e-13       1.176818122046e-16       4.154828675105e-11       4.521022392497e-12      -9.924246827514e-15 
   57       2.125909433179e-10       2.383229216057e-14      -1.417821564732e-13       1.219355519344e-16       3.993341357213e-11       4.361996758933e-12      -1.045166380437e-14 
   58       2.155803226305e-10       2.513709908771e-14      -1.794331896427e-13       1.262644639902e-16       3.840128653040e-11       4.211513283902e-12      -1.089578842449e-14 
   59       2.185912251244e-10       2.648188252900e-14      -2.190226862293e-13       1.306683928583e-16       3.693988572452e-11       4.068523308741e-12      -1.118374877039e-14 
   60       2.216251965642e-10       2.786618173145e-14      -2.605317150506e-13       1.351472049767e-16       3.554726537554e-11       3.932737247442e-12      -1.131758921355e-14 
   61       2.246849524184e-10       2.928929501004e-14      -3.039201019717e-13       1.397007684178e-16       3.422294682705e-11       3.803924702522e-12      -1.132295600215e-14 
   62       2.277726104065e-10       3.075039697973e-14      -3.491394045083e-13       1.443289454753e-16       3.296469449637e-11       3.681650282131e-12      -1.123039838341e-14 
   63       2.308896403607e-10       3.224853456990e-14      -3.961326379033e-13       1.490315927355e-16       3.176841393747e-11       3.565262123890e-12      -1.107558673587e-14 
   64       2.340368140880e-10       3.378262303881e-14      -4.448340012034e-13       1.538085611481e-16       3.062804990385e-11       3.453880418716e-12      -1.089953070177e-14 
   65       2.372145331859e-10       3.535158112899e-14      -4.951835791611e-13       1.586597107521e-16       2.953725525522e-11       3.346633604659e-12      -1.073960938899e-14 
   66       2.404240057998e-10       3.695477875489e-14      -5.471756821430e-13       1.635849583178e-16       2.849503745181e-11       3.243450865650e-12      -1.059996406768e-14 
   67       2.436662301929e-10       3.859167728331e-14      -6.008202843636e-13       1.685842399512e-16       2.750112920122e-11       3.144417451476e-12      -1.047520656386e-14 
   68       2.469415999564e-10       4.026169866678e-14      -6.561290936843e-13       1.736574978023e-16       2.655427170994e-11       3.049537354287e-12      -1.035901575639e-14 
   69       2.502498644437e-10       4.196422535000e-14      -7.131156965945e-13       1.788046805467e-16       2.565216228026e-11       2.958728760261e-12      -1.024409870418e-14 
   70       2.535900892048e-10       4.369860017638e-14      -7.717957031927e-13       1.840257438658e-16       2.479140190733e-11       2.871819501264e-12      -1.012215177358e-14 
   71       2.569606164205e-10       4.546412629447e-14      -8.321868921668e-13       1.893206509287e-16       2.396744287610e-11       2.788542506521e-12      -9.983821765594e-15 
   72       2.603598237195e-10       4.726001648701e-14      -8.942993809765e-13       1.946893828013e-16       2.317575736818e-11       2.708612030487e-12      -9.821350292447e-15 
   73       2.637886571821e-10       4.908523010546e-14      -9.581036298144e-13       2.001319709198e-16       2.241571942394e-11       2.631979383423e-12      -9.637180930026e-15 
   74       2.672485153088e-10       5.093860452036e-14      -1.023556529415e-12       2.056484717490e-16       2.168737689170e-11       2.558618297284e-12      -9.436941651041e-15 
   75       2.707404727419e-10       5.281890169836e-14      -1.090610750331e-12       2.112389581020e-16       2.099027233181e-11       2.488445840737e-12      -9.226929970860e-15 
   76       2.742652589281e-10       5.472480695396e-14      -1.159214660178e-12       2.169035198478e-16       2.032341849057e-11       2.421319715026e-12      -9.014135336205e-15 
   77       2.778232367802e-10       5.665492770132e-14      -1.229312240881e-12       2.226422646193e-16       1.968527377416e-11       2.357035549849e-12      -8.806261513855e-15 
   78       2.814143813394e-10       5.860779220593e-14      -1.300843005921e-12       2.284553185208e-16       1.907371772258e-11       2.295324199221e-12      -8.611748979343e-15 
